순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,역사,사피엔스,8934972467,9788934972464,3900,김영사,"유발 하라리 지음, 조현욱 옮김, 이태수 감수",22000,19800,2200,10%,"1,100점",20151123,168458
2,역사,일본의 굴레,8967358628,9788967358624,3300,글항아리,"R. 태가트 머피 지음, 윤영수 외 옮김",32000,28800,3200,10%,"1,600점",20210215,14620
3,역사,메트로폴리스,K322738124,9791164842254,3900,매일경제신문사,"벤 윌슨 지음, 박수철 옮김, 박진빈 감수",27000,24300,2700,10%,"1,350점",20210308,14655
4,역사,나의 한국현대사 1959-2020,897199908X,9788971999080,3910,돌베개,유시민 지음,19000,17100,1900,10%,950점,20210118,56335
5,역사,역사란 무엇인가,8972915815,9788972915812,3900,까치,"E.H. 카 지음, 김택현 옮김",12000,10800,1200,10%,600점,20150316,24527
6,역사,피에 젖은 땅,8967358717,9788967358716,3900,글항아리,"티머시 스나이더 지음, 함규진 옮김",44000,39600,4400,10%,"2,200점",20210302,5710
7,역사,지리의 힘,8993178690,9788993178692,3300,사이,"팀 마샬 지음, 김미선 옮김",17000,15300,1700,10%,850점,20160810,72496
8,역사,"괴물, 조선의 또 다른 풍경",K562738085,9791191308228,3900,위즈덤하우스,곽재식 지음,17000,15300,1700,10%,850점,20210121,13820
9,역사,중국정치사상사,K352738225,9791189946913,93340,사회평론아카데미,김영민 지음,50000,45000,5000,10%,"2,500점",20210215,9580
10,역사,"싸우는 여자들, 역사가 되다",K052738325,9791160404593,3910,한겨레출판,"윤석남 그림, 김이경 글",15000,13500,1500,10%,750점,20210216,4530
11,역사,독재자가 되는 법,8932920893,9788932920894,3900,열린책들,"프랑크 디쾨터 지음, 고기탁 옮김",22000,19800,2200,10%,"1,100점",20210301,3900
12,역사,차이나 키워드 100,K022534253,9791157201495,3910,시사중국어사(시사에듀케이션),김동하 외 지음,18000,16200,1800,10%,900점,20190315,4168
13,역사,101가지 흑역사로 읽는 세계사 : 고대~근대 편,K782737702,9791130633893,4900,다산초당(다산북스),"빌 포셋 외 지음, 김정혜 옮김",17000,15300,1700,10%,850점,20210104,12380
14,역사,중세 유럽에서는,8963412865,9788963412863,94140,영민,문윤덕 지음,15000,15000,0,0%,150점,20180307,3733
15,역사,곰브리치 세계사 (예일대 특별판),8949189534,9788949189536,43900,비룡소,"에른스트 H. 곰브리치 지음, 박민수 옮김",23000,20700,2300,10%,"1,150점",20190605,25956
16,역사,한국인을 위한 중국사,8974832100,9788974832100,3910,서해문집,"신성곤, 윤혜영 지음",22000,19800,2200,10%,"1,100점",20040407,9417
17,역사,조선잡사,8937417804,9788937417801,3910,민음사,강문종 외 지음,18000,16200,1800,10%,900점,20201023,17927
18,역사,이야기와 감동이 있는 일본문화탐방,8975994899,9788975994890,93910,궁미디어,장남호 외 지음,14000,14000,0,0%,700점,20130826,4184
19,역사,101가지 흑역사로 읽는 세계사 : 현대 편,K452737704,9791130633909,4900,다산초당(다산북스),"빌 포셋 외 지음, 김정혜 옮김",17000,15300,1700,10%,850점,20210105,8190
20,역사,지도로 읽는 땅따먹기 세계사,K662737468,9791190257985,3900,시그마북스,"박지운 옮김, 이와타 슈젠 감수",13000,11700,1300,10%,650점,20210105,7420
21,역사,혼돈의 시대 리더의 탄생,K682638681,9791135459757,,커넥팅(Connecting),"도리스 키언스 굿윈 지음, 강주헌 옮김",26800,24120,2680,10%,"1,340점",20200304,21070
22,역사,역사교육의 내용과 방법,8991221297,9788991221291,93900,책과함께,최상훈.이영효.김한종.강선주 지음,18000,16200,1800,10%,900점,20070905,6269
23,역사,서양사강좌,8957334815,9788957334812,93920,아카넷,박윤덕 외 지음,30000,28500,1500,5%,"1,500점",20160220,7171
24,역사,역사교육의 이론,8991221513,9788991221512,93900,책과함께,김한종 외 지음,20000,18000,2000,10%,"1,000점",20090914,5671
25,역사,어둠의 세계,K112738125,9791190422611,3900,오월의봄,"앤드루 파인스타인 지음, 조아영 외 옮김",42000,37800,4200,10%,"2,100점",20210215,2670
26,역사,읽기만 하면 내 것이 되는 1페이지 한국사 365,K742630266,9791197035258,4900,비에이블,심용환 지음,16500,14850,1650,10%,820점,20200617,36326
27,역사,아틀라스 일본사,8958285230,9788958285236,3910,사계절,일본사학회 지음,29800,26820,2980,10%,"1,490점",20110403,7788
28,역사,테라 인코그니타,8936478516,9788936478513,3910,창비,강인욱 지음,18000,16200,1800,10%,900점,20210131,7110
29,역사,매국노 고종,K212736431,9791189328351,3910,와이즈맵,박종인 지음,18000,16200,1800,10%,900점,20201230,8335
30,역사,한중일이 함께 쓴 동아시아 근현대사 1,8958624957,9788958624950,4910,휴머니스트,한중일3국공동역사편찬위원회 지음,23000,20700,2300,10%,"1,150점",20120529,4447
31,역사,여권의 발명,8964373669,9788964373668,93300,후마니타스,"존 토피 지음, 이충훈 외 옮김",18000,16200,1800,10%,900점,20210222,2110
32,역사,다시 찾는 우리역사,8983411066,9788983411068,3910,경세원,한영우 지음,42000,42000,0,0%,"2,100점",20140211,4212
33,역사,사마르칸트의 황금 복숭아,8967358601,9788967358600,93910,글항아리,"에드워드 H. 셰이퍼 지음, 이호영 옮김",38000,34200,3800,10%,"1,900점",20210226,2120
34,역사,식탁 위의 중국사,K742738584,9791191260892,3910,현대지성,"장징 지음, 장은주 옮김",12000,10800,1200,10%,600점,20210205,3015
35,역사,고대 이스라엘 역사 1,8968177945,9788968177941,94910,한국문화사,"헤르베르트 돈너 지음, 배희숙 옮김",28000,28000,0,0%,"1,400점",20190905,2033
36,역사,역사 속의 동서문화교류,8971573562,9788971573563,93900,강원대학교출판부,권오신 외 지음,15000,15000,0,0%,750점,20160824,2648
37,역사,설민석의 조선왕조실록,8933870695,9788933870693,3910,세계사,"설민석 지음, 최준석 그림",22000,19800,2200,10%,"1,100점",20160725,84258
38,역사,한국사,8974114968,9788974114961,3910,새문사,고려대학교 한국사연구소 엮음,31000,31000,0,0%,"1,550점",20170303,2018
39,역사,아틀라스 중국사,8958289082,9788958289081,3910,사계절,박한제 외 지음,29800,26820,2980,10%,"1,490점",20151120,6961
40,역사,새로운 서양 문명의 역사 - 상,8971390921,9788971390924,4920,소나무,"로버트 스테이시 외 지음, 박상익 옮김",28000,25200,2800,10%,"1,400점",20140301,4340
41,역사,한국인의 맛,K082738320,9791155401804,3910,추수밭(청림출판),정명섭 지음,16000,14400,1600,10%,800점,20210226,2410
42,역사,한국사,8971804939,9788971804933,93910,경북대학교출판부,경북대 한국사교재편찬위원회 엮음,17000,17000,0,0%,850점,20190225,3014
43,역사,빅뱅에서 인간까지,8936811096,9788936811099,3400,청아출판사,마그나 히스토리아 연구회 지음,20000,18000,2000,10%,"1,000점",20171110,2322
44,역사,믿습니까? 믿습니다!,8962623595,9788962623598,3300,동아시아,오후 지음,16000,14400,1600,10%,800점,20210101,9925
45,역사,사료로 읽는 우리 역사,8971077522,9788971077528,93910,건국대학교출판부,홍성화 외 지음,17000,16150,850,5%,850점,20180910,2675
46,역사,호모 루덴스,K882533121,9791160870374,3380,연암서가,"요한 하위징아 지음, 이종인 옮김",16000,14400,1600,10%,800점,20180715,5368
47,역사,서양철학사 1,8961472283,9788961472289,94100,이학사,"군나르 시르베크.닐스 길리에 지음, 윤형식 옮김",23000,20700,2300,10%,"1,150점",20160227,6177
48,역사,정조의 비밀편지,8954609929,9788954609920,4900,문학동네,안대회 지음,8800,7920,880,10%,90점,20100108,5109
49,역사,메이지유신을 설계한 최후의 사무라이들,8950993333,9788950993337,4300,21세기북스,박훈 지음,16000,14400,1600,10%,800점,20201221,5300
50,역사,한국근현대사강의,8946069473,9788946069473,93910,한울(한울아카데미),한국근현대사학회 엮음,29000,29000,0,0%,290점,20200925,1348
51,역사,펠로폰네소스 전쟁사,899129040X,9788991290402,93900,도서출판 숲,"투퀴디데스 지음, 천병희 옮김",38000,34200,3800,10%,"1,900점",20110630,7803
52,역사,30개 도시로 읽는 세계사,K172630316,9791130630366,3900,다산초당(다산북스),"조 지무쇼 엮음, 최미숙 옮김, 진노 마사후미 감수",16800,15120,1680,10%,840점,20200706,15478
53,역사,그랜드투어 그리스 : 고전학자와 함께 둘러보는 신화와 역사의 고향,K922738583,9791197336102,,도도네,강대진 지음,23000,20700,2300,10%,"1,150점",20210130,5085
54,역사,유럽 1914-1949,K622737958,9791189143206,93920,이데아,"이언 커쇼 지음, 류한수 옮김",52000,46800,5200,10%,"2,600점",20201228,5915
55,역사,신동원 교수의 한국과학문명사 강의,K332738329,9791191432008,3910,책과함께,신동원 지음,38000,34200,3800,10%,"1,900점",20210222,2150
56,역사,옥스퍼드 세계사,K712736332,9791190277990,3900,교유서가,"펠리페 페르난데스아르메스토 외 지음, 이재만 옮김",38000,34200,3800,10%,"1,900점",20201221,9940
57,역사,중화미각,8954658369,9788954658362,3900,문학동네,김민호.이민숙.송진영 외 지음,20000,18000,2000,10%,"1,000점",20191108,3542
58,역사,한국사통론,8944591016,9788944591013,93910,삼영사,변태섭 지음,22000,22000,0,0%,"1,100점",20070326,5619
59,역사,지금은 중국을 읽을 시간,K252633920,9791197196126,43910,민규,중국을읽어주는중국어교사모임 지음,14000,12600,1400,10%,700점,20201101,2051
60,역사,동아시아를 발견하다,8976964381,9788976964380,93910,역사비평사,"쑹녠선 지음, 김승욱 옮김",25000,22500,2500,10%,"1,250점",20201028,2275
61,역사,최초의 신화 길가메쉬 서사시 (리커버 개정판),K672639549,9791160803952,3910,휴머니스트,김산해 지음,30000,27000,3000,10%,"1,500점",20200601,25112
62,역사,거의 모든 것의 역사,8972917117,9788972917113,3400,까치,"빌 브라이슨 지음, 이덕환 옮김",25000,22500,2500,10%,"1,250점",20200410,12260
63,역사,정선 목민심서,893647782X,9788936477820,3300,창비,"정약용 지음, 다산연구회 편역",18000,16200,1800,10%,900점,20191015,4708
64,역사,한국 고고학 강의,6000822784,9791185617350,93900,사회평론아카데미,한국고고학회 엮음,23000,23000,0,0%,230점,20150213,2433
65,역사,깊은 멕시코,K302739030,9791197004599,3950,에디투스,"기예르모 본필 바타야 지음, 박수경 옮김",16000,14400,1600,10%,800점,20210226,1370
66,역사,광기와 우연의 역사 (최신 완역판),K762736667,9791190626064,4900,이화북스,"슈테판 츠바이크 지음, 정상원 옮김",16500,14850,1650,10%,820점,20201130,4805
67,역사,전태일평전,8996187453,9788996187455,3990,아름다운전태일(전태일기념사업회),조영래 지음,15000,13500,1500,10%,750점,20200907,12050
68,역사,사진과 그림으로 보는 북한 현대사,890116194X,9788901161945,4910,웅진지식하우스,"김성보.기광서.이신철 지음, 역사문제연구소 기획",23000,20700,2300,10%,"1,150점",20140414,2813
69,역사,빅 히스토리,8956056935,9788956056937,3900,해나무,"데이비드 크리스천 & 밥 베인 지음, 조지형 옮김",15000,13500,1500,10%,150점,20130910,5843
70,역사,코젤렉의 개념사 사전 16,K982738128,9791156121855,94900,푸른역사,"라인하르트 코젤렉 외 지음, 오토 브루너 외 엮음, 최호근 옮김, 한림대학교 한림과학원 기",19800,17820,1980,10%,990점,20210127,2340
71,역사,최태성의 만화 한국사 2 근현대편,K302633326,9791129706829,14910,메가스터디북스,"최태성 지음, 김연큐 그림",16000,14400,1600,10%,800점,20201111,7150
72,역사,최태성의 만화 한국사 1 전근대편,K352633326,9791129706812,14910,메가스터디북스,"최태성 지음, 김연큐 그림",16000,14400,1600,10%,800점,20201111,7110
73,역사,제국에서 민국으로 가는 길,K492534338,9791188388745,3910,생각정원,"박광일 지음, 신춘호 사진",18000,16200,1800,10%,900점,20190122,1580
74,역사,토픽 한국사 12,K092535541,9791187700111,3900,여문책,김용태 지음,18000,16200,1800,10%,900점,20161205,1253
75,역사,이만큼 가까운 중국,8936458523,9788936458522,4910,창비,이욱연 지음,13000,11700,1300,10%,130점,20160718,3398
76,역사,살아있는 세계사 교과서 1,8958620706,9788958620709,3900,휴머니스트,전국역사교사모임 지음,24000,21600,2400,10%,"1,200점",20051024,26443
77,역사,역사교육과 역사인식,8991221084,9788991221086,93900,책과함께,김한종.이영효.양호환.최상훈.양정현.유용태.강선주 공저,20000,18000,2000,10%,"1,000점",20050531,4982
78,역사,2차 세계대전의 민중사,K732739412,9791190422635,3900,오월의봄,"도니 글룩스타인 지음, 김덕련 옮김",27000,24300,2700,10%,"1,350점",20210308,970
79,역사,변신의 역사,K222738629,9791197293498,3900,미래의창,"존 B. 카추바 지음, 이혜경 옮김",16000,14400,1600,10%,800점,20210302,1890
80,역사,큰★별쌤 최태성의 강의 한국사능력검정시험 심화 1·2·3급 - 상,K212738028,9791191360011,4910,생각정원,최태성 지음,19000,17100,1900,10%,950점,20210208,2225
81,역사,연대하는 페미니즘,8972979791,9788972979791,3300,동녘,정현백 지음,16000,14400,1600,10%,800점,20210205,1500
82,역사,유럽 1950-2017,K342737959,9791189143213,93920,이데아,"이언 커쇼 지음, 김남섭 옮김",55000,49500,5500,10%,"2,750점",20201228,4620
83,역사,두 개의 스페인,K802633106,9791159017988,3920,한국외국어대학교출판부 지식출판원(HUINE),신정환.전용갑 지음,20500,18450,2050,10%,200점,20200918,1280
84,역사,한국사특강,8952108787,9788952108784,93910,서울대학교출판부,한국사특강편찬위원회 엮음,21000,21000,0,0%,"1,050점",20080831,6001
85,역사,살아있는 세계사 교과서 2,8958620714,9788958620716,3900,휴머니스트,전국역사교사모임 지음,24000,21600,2400,10%,"1,200점",20051024,21196
86,역사,새로 쓴 서양사총론 1,8987314456,9788987314457,93900,탐구당,차하순 지음,24000,24000,0,0%,720점,20170130,2786
87,역사,중앙아시아사,K942737451,9791188990597,3910,책과함께,"피터 B. 골든 지음, 이주엽 옮김",18000,16200,1800,10%,900점,20210131,4070
88,역사,한중일 비교 통사,8994606629,9788994606620,93910,너머북스,"미야지마 히로시 지음, 박은영 옮김",25000,22500,2500,10%,"1,250점",20201203,3930
89,역사,처음 읽는 술의 세계사,K092633719,9791189550257,3900,탐나는책,"미야자키 마사카츠 지음, 정세환 옮김",16000,14400,1600,10%,800점,20201026,4216
90,역사,낯선 중세,8932033994,9788932033990,3920,문학과지성사,유희수 지음,23000,20700,2300,10%,"1,150점",20181220,2207
91,역사,옥스퍼드 중국사 수업,K962434646,9791185152462,3910,유유,"폴 로프 지음, 강창훈 옮김",17000,15300,1700,10%,850점,20160414,2011
92,역사,세계외교사,8952113837,9788952113832,93340,서울대학교출판문화원,김용구 지음,35000,35000,0,0%,"1,750점",20121015,3070
93,역사,새로운 한국사 길잡이 - 상,8942311067,9788942311064,93910,지식산업사,한국사연구회 엮음,19500,18520,980,6%,970점,20080215,4350
94,역사,백범일지,8971992255,9788971992258,3910,돌베개,"김구 지음, 도진순 주해",12000,10800,1200,10%,600점,20020801,24072
95,역사,트로트가 무어냐고 물으신다면,8998439883,9788998439880,3670,따비,장유정 지음,17000,15300,1700,10%,850점,20210228,1170
96,역사,1일 1페이지 그날 세계사 365,K342737951,9791161691442,3900,팬덤북스,백재현 지음,16000,14400,1600,10%,800점,20210129,2795
97,역사,근대 유럽의 형성,8972915084,9788972915089,93920,까치,이영림.주경철.최갑수 지음,23000,20700,2300,10%,"1,150점",20110831,2594
98,역사,새로운 한국사 길잡이 - 하,8942311075,9788942311071,93910,지식산업사,한국사연구회 엮음,19500,18520,980,6%,970점,20080215,4219
99,역사,처음부터 다시 배우는 서양고대사,K742738022,9791191432015,3920,책과함께,정기문 지음,22000,19800,2200,10%,"1,100점",20210302,1715
100,역사,큰★별쌤 최태성의 강의 한국사능력검정시험 심화 1·2·3급 - 하,K252738028,9791191360028,4910,생각정원,최태성 지음,19000,17100,1900,10%,950점,20210208,1920
101,역사,하룻밤에 읽는 한국 고대사,K312738489,9791190475396,3910,페이퍼로드,이문영 지음,18000,16200,1800,10%,900점,20210205,3215
102,역사,인문학은 성경을 어떻게 만나는가,K692738287,9791189303457,3190,샘솟는기쁨,박양규 지음,16500,14850,1650,10%,820점,20210127,3205
103,역사,무당과 유생의 대결,K482738486,9791187332619,93910,사우,한승훈 지음,18000,16200,1800,10%,900점,20210127,2630
104,역사,7개 코드로 읽는 유럽 도시,K242737800,9791187147671,3920,아날로그(글담),윤혜준 지음,17000,15300,1700,10%,850점,20210107,4815
105,역사,새롭게 쓴 한국 독립운동사 강의,8946071753,9788946071759,93910,한울(한울아카데미),한국근현대사학회 엮음,29000,29000,0,0%,290점,20200320,1461
106,역사,B급 세계사,K152533160,9791196381509,3900,행복한작업실,"김상훈 지음, 김의솔 그림",15800,14220,1580,10%,790점,20180618,2135
107,역사,한 권으로 읽는 조선왕조실록,890121492X,9788901214924,4900,웅진지식하우스,박영규 지음,20000,18000,2000,10%,"1,000점",20170210,4499
108,역사,한국근대사 1,K762434528,9791156120667,94900,푸른역사,연갑수.주진오.도면회 지음,15000,13500,1500,10%,750점,20160225,2257
109,역사,문화로 읽는 세계사,8958288981,9788958288985,3900,사계절,주경철 지음,21000,18900,2100,10%,"1,050점",20151223,1864
110,역사,중국지리의 즐거움,8992258712,9788992258715,3910,차이나하우스,고려대 중국학연구소 지음,18800,16920,1880,10%,940점,20120228,2114
111,역사,한국 근현대사를 읽는다,8949906945,9788949906942,93910,경인문화사,박찬승 지음,22000,20900,1100,5%,660점,20100225,1691
112,역사,고전문학사의 라이벌,8984311804,9788984311800,3810,한겨레출판,고미숙 외 지음,11000,9900,1100,10%,550점,20060217,2188
113,역사,아틀라스 한국사,8958280328,9788958280323,3910,사계절,한국교원대학교 역사교육과 지음,29800,26820,2980,10%,"1,490점",20040920,5537
114,역사,코젤렉의 개념사 사전 20,K662738128,9791156121893,94900,푸른역사,"하인츠 몬하우프트.디터 그림 지음, 오토 브루너 외 엮음, 송석윤 옮김, 한림대학교 한림과",15000,13500,1500,10%,750점,20210127,1670
115,역사,미국을 만든 50개 주 이야기,K662738380,9791197293467,3900,미래의창,김동섭 지음,16000,14400,1600,10%,800점,20210210,4260
116,역사,공공역사란 무엇인가,K252737353,9791156121817,93900,푸른역사,"마르틴 뤼케 외 지음, 정용숙 옮김",20000,18000,2000,10%,"1,000점",20201224,3460
117,역사,문명은 왜 사라지는가,8971995882,9788971995884,3900,돌베개,"하랄트 하르만 지음, 이수영 옮김, 강인욱 해제",18000,16200,1800,10%,900점,20210104,6155
118,역사,망고와 수류탄,K922737420,9791190186094,3330,두번째테제,"기시 마사히코 지음, 정세경 옮김",16000,14400,1600,10%,800점,20210105,2480
119,역사,영국 사교계 가이드,K602534527,9791127422042,3920,AK(에이케이)커뮤니케이션즈,"무라카미 리코 지음, 문성호 옮김",15000,13500,1500,10%,750점,20190110,5093
120,역사,"조선, 그 마지막 10년의 기록",K512534585,9791187400394,3910,책비,"제임스 S. 게일 지음, 최재형 옮김",18000,16200,1800,10%,900점,20181101,4134
121,역사,우리는 마약을 모른다,8962622335,9788962622331,3330,동아시아,오후 지음,15000,13500,1500,10%,750점,20180720,5066
122,역사,역사의 역사,8971998555,9788971998557,3900,돌베개,유시민 지음,16000,14400,1600,10%,800점,20180625,44426
123,역사,세계사를 바꾼 10가지 약,K862532840,9791188635108,3900,사람과나무사이,"사토 겐타로 지음, 서수지 옮김",16000,14400,1600,10%,800점,20180510,11359
124,역사,황금의 샘 세트 - 전2권,K082531009,9791186039809,4320,라의눈,"대니얼 예긴 지음, 김태유.허은녕 옮김",49600,44640,4960,10%,"2,480점",20170801,1895
125,역사,쟁점 한국사 : 전근대편,8936482815,9788936482817,4910,창비,한명기 외 지음,15000,13500,1500,10%,750점,20170301,1286
126,역사,"단군의 나라, 카자흐스탄 (컬러판)",K952434333,9791158520892,3910,글로벌콘텐츠,김정민 지음,20000,19000,1000,5%,"1,000점",20160415,3104
127,역사,한국근대사 2,K012434529,9791156120674,94900,푸른역사,김정인.이준식.이송순 지음,16900,15210,1690,10%,840점,20160225,2037
128,역사,역사란 무엇인가?,8994210512,9788994210513,4900,민음인,정기문 지음,7200,6480,720,10%,360점,20101112,1608
129,역사,징비록,8974831740,9788974831745,3900,서해문집,"유성룡 지음, 김흥식 옮김",11900,10710,1190,10%,590점,20141120,16296
130,역사,D. H. 로렌스 유럽사 이야기,K582739238,9791190475419,3920,페이퍼로드,"데이비드 허버트 로렌스 지음, 채희석 옮김",22000,19800,2200,10%,"1,100점",20210319,800
131,역사,코젤렉의 개념사 사전 19,K412738128,9791156121886,94900,푸른역사,"프리츠 로스 외 지음, 오토 브루너 외 엮음, 엄현아 옮김, 한림대학교 한림과학원 기획",14000,12600,1400,10%,700점,20210127,1680
132,역사,코젤렉의 개념사 사전 17,K002738128,9791156121862,94900,푸른역사,"크리스티안 마이어 외 지음, 오토 브루너 외 엮음, 나인호 옮김, 한림대학교 한림과학원 기",18900,17010,1890,10%,940점,20210127,1540
133,역사,무너지지 않기 위하여,K092738087,9791189346140,3860,밤의책,"유제프 차프스키 지음, 류재화 옮김",15000,13500,1500,10%,750점,20210120,4720
134,역사,로마 황제 열전,897291729X,9788972917298,3920,까치,"배리 스트라우스 지음, 최파일 옮김",25000,22500,2500,10%,"1,250점",20210125,2555
135,역사,사진과 그림으로 보는 한국현대사,8901241633,9788901241630,3910,웅진지식하우스,서중석 지음,25000,22500,2500,10%,"1,250점",20200622,2191
136,역사,국제관계사,K422638484,9791189946494,93340,사회평론아카데미,박건영 지음,40000,40000,0,0%,"1,200점",20200217,1493
137,역사,중국 문화 알기,K202638382,9791157201693,3910,시사중국어사(시사에듀케이션),한중인문학교류연구소 지음,17000,15300,1700,10%,850점,20200302,1675
138,역사,살아있는 한국사 교과서 1,K432635865,9791160802023,3910,휴머니스트,전국역사교사모임 지음,21000,18900,2100,10%,"1,050점",20190308,4799
139,역사,함께 보는 한국근현대사,8974838079,9788974838072,3910,서해문집,역사학연구소 지음,16900,15210,1690,10%,840점,20161020,2060
140,역사,일제강점기 그들의 다른 선택,K392535095,9791186351062,3910,피플파워,선안나 지음,15000,13500,1500,10%,750점,20160801,4385
141,역사,함께 읽는 동아시아 근현대사,8936482769,9788936482763,93910,창비,유용태.박진우.박태균 지음,28000,25200,2800,10%,"1,400점",20160226,1607
142,역사,만주 모던,8932028524,9788932028521,93910,문학과지성사,한석정 지음,28000,25200,2800,10%,"1,400점",20160325,4918
143,역사,역사,8991290264,9788991290266,93900,도서출판 숲,"헤로도토스 지음, 천병희 옮김",39000,35100,3900,10%,"1,950점",20090210,8427
144,역사,"일상이 고고학, 나 혼자 경주 여행",K442633501,9791186274637,,책읽는고양이,황윤 지음,14900,13410,1490,10%,740점,20201015,4387
145,역사,현대 중국의 이해,K012638681,9791161930268,93300,명인문화사,"Kerry Brown 지음, 김흥규 옮김",24000,21600,2400,10%,"1,200점",20200219,1044
146,역사,서양 중세사,8930318444,9788930318440,93920,집문당,"브라이언 타이어니 외 지음, 이연규 옮김",28000,28000,0,0%,0점,20191230,1629
147,역사,세계사를 바꾼 12가지 신소재,K162635925,9791188850624,3900,북라이프,"사토 겐타로 지음, 송은애 옮김",16000,14400,1600,10%,800점,20190625,7157
148,역사,문화를 잇다 중국을 짓다,8964621131,9788964621134,3820,뿌리와이파리,홍윤기 외 지음,18000,16200,1800,10%,900점,20190220,742
149,역사,살아있는 한국 근현대사 교과서 (리커버),8958621761,9788958621768,3900,휴머니스트,김육훈 지음,23000,20700,2300,10%,"1,150점",20070416,6716
150,역사,조관희 교수의 중국현대사,8936811444,9788936811440,3910,청아출판사,조관희 지음,22000,19800,2200,10%,"1,100점",20190208,1027
151,역사,처음 읽는 중국사,K472534216,9791160801859,3900,휴머니스트,전국역사교사모임 지음,20000,18000,2000,10%,"1,000점",20181214,5589
152,역사,르네상스,8954653413,9788954653411,3900,교유서가,"제리 브로턴 지음, 윤은주 옮김",13800,12420,1380,10%,690점,20181029,1222
153,역사,서민 교수의 의학세계사,K812534610,9791188388714,3900,생각정원,서민 지음,17000,15300,1700,10%,850점,20181221,2535
154,역사,최태성 한국사 수업,K932532623,9791129701855,13910,메가스터디북스,"최태성 지음, 신동민 그림",21000,18900,2100,10%,"1,050점",20180330,5267
155,역사,베트남 탐구,8974649632,9788974649630,3910,한국외국어대학교출판부 지식출판원(HUINE),송정남 지음,25000,23750,1250,5%,"1,250점",20150310,858
156,역사,현대 고고학 강의,K792533258,9791185617343,93900,사회평론아카데미,"콜린 렌프류. 폴 반 지음, 이희준 옮김",23000,23000,0,0%,230점,20150216,1315
157,역사,현대 일본의 역사 1,8987608735,9788987608730,4910,이산,"앤드루 고든 지음, 문현숙.김우영 옮김",19000,17100,1900,10%,950점,20150305,1591
158,역사,교양한국사,8967980183,9788967980184,3910,수서원,이미숙 지음,15000,15000,0,0%,0점,20140830,862
159,역사,사료로 보는 아시아사,8996235032,9788996235033,3910,위더스북,유인선 외 지음,35000,31500,3500,10%,"1,750점",20140228,2728
160,역사,라틴 아메리카 문화의 즐거움,1185006044,9791185006048,3950,스토리하우스,김우성 외 지음,18800,16920,1880,10%,940점,20140310,1141
161,역사,유대인 이야기,8997132288,9788997132287,3920,행성B(행성비),홍익희 지음,28000,25200,2800,10%,"1,400점",20130120,5365
162,역사,대운하와 중국 상인,8937483661,9788937483660,93910,민음사,조영헌 지음,38000,34200,3800,10%,"1,900점",20110530,969
163,역사,중국문화의 즐거움,8992258682,9788992258685,3380,차이나하우스,중국문화연구회 엮음,16800,15120,1680,10%,840점,20090420,1626
