순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,예술/대중문화,"알폰스 무하, 새로운 스타일의 탄생",8925589109,9788925589107,3600,알에이치코리아(RHK),장우진 지음,16800,15120,1680,10%,840점,20210215,48490
2,예술/대중문화,읽기만 하면 내 것이 되는 1페이지 미술 365 (고흐 에디션),K582736433,9791190931106,,비에이블,김영숙 지음,18500,16650,1850,10%,920점,20200925,120995
3,예술/대중문화,김락희의 인체 드로잉,893158850X,9788931588507,13600,성안당,"김락희 지음, 윤관현 감수",35000,31500,3500,10%,"1,750점",20191127,69423
4,예술/대중문화,새 들으며 배우는 서양음악사 본문 1,8989544378,9788989544371,94670,심설당,허영한 지음,20000,19000,1000,5%,"1,000점",20090210,17433
5,예술/대중문화,스토리텔링 바이블,8968332886,9788968332883,3600,블랙피쉬,"대니얼 조슈아 루빈 지음, 이한이 옮김",23000,20700,2300,10%,"1,150점",20201217,40515
6,예술/대중문화,음악의 언어,K672738795,9791190999045,3670,시간의흐름,송은혜 지음,14000,12600,1400,10%,700점,20210131,14880
7,예술/대중문화,연주자를 위한 조성음악분석 1,8959167096,9788959167098,94670,예솔,송무경 지음,15000,13500,1500,10%,750점,20180220,10483
8,예술/대중문화,방구석 미술관 (10만 부 기념 스페셜 에디션),8968331863,9788968331862,3600,블랙피쉬,조원재 지음,16800,15120,1680,10%,840점,20200410,139874
9,예술/대중문화,방구석 미술관 2 : 한국,8968332843,9788968332845,3600,블랙피쉬,조원재 지음,18500,16650,1850,10%,920점,20201118,76530
10,예술/대중문화,스즈키 바이올린 교본 1,8903411110,9788903411116,93670,세광음악출판사,세광음악 편집부 엮음,12000,10800,1200,10%,600점,20091217,33707
11,예술/대중문화,색채 1,8995829311,9788995829318,14000,한국색채연구소,한국색채연구소 엮음,8000,7200,800,10%,400점,20150205,13698
12,예술/대중문화,새 들으며 배우는 서양음악사 본문 2,8989544386,9788989544388,94670,심설당,허영한 외 지음,24000,22800,1200,5%,"1,200점",20090820,11910
13,예술/대중문화,나의 이브 생 로랑에게,K402738022,9791197325809,3860,프란츠,"피에르 베르제 지음, 김유진 옮김",18800,16920,1880,10%,940점,20210209,9735
14,예술/대중문화,컬러 앤 라이트 Color and Light,8996755117,9788996755111,3600,AWBOOKS,제임스 거니 지음,28000,25200,2800,10%,"1,400점",20121031,22789
15,예술/대중문화,색채 2,899582932X,9788995829325,14000,한국색채연구소,한국색채연구소 엮음,8000,7200,800,10%,400점,20150205,10145
16,예술/대중문화,음악읽기를 위한 뮤직 테오리아,8991952429,9788991952423,13670,모노폴리(monopoly),나주리.안소영.황순도 지음,16000,14400,1600,10%,800점,20190301,4015
17,예술/대중문화,이야기의 집,K232737558,9791160075601,13650,한즈미디어(한스미디어),"요시다 세이지 지음, 김재훈 옮김",22000,19800,2200,10%,"1,100점",20210120,14525
18,예술/대중문화,"클릭, 서양미술사",8970844155,9788970844152,3600,예경,"캐롤 스트릭랜드 지음, 김호경 옮김",26000,23400,2600,10%,"1,300점",20100115,9987
19,예술/대중문화,1일 1클래식 1기쁨 (양장 특별판),K142737568,9791155813300,3670,윌북,"클레먼시 버턴힐 지음, 김재용 옮김",18800,16920,1880,10%,940점,20201221,49318
20,예술/대중문화,만화의 이해,8992607148,9788992607148,3600,비즈앤비즈,"스콧 맥클라우드 지음, 김낙호 옮김",19000,17100,1900,10%,950점,20080701,10777
