순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,외국어,해커스 토익 기출 보카 TOEIC VOCA 단어장,8965422787,9788965422785,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,12900,11610,1290,10%,640점,20190102,289980
2,외국어,ETS 토익 정기시험 기출문제집 1000 Vol. 2 Reading (리딩),8917232191,9788917232196,14740,(주)YBM(와이비엠),ETS 엮음,17800,16020,1780,10%,890점,20191216,186360
3,외국어,ETS 토익 정기시험 기출문제집 1000 Vol. 2 Listening (리스닝),8917232183,9788917232189,13740,(주)YBM(와이비엠),ETS 엮음,17800,16020,1780,10%,890점,20191216,171622
4,외국어,해커스 토익 RC 리딩 READING,8965423341,9788965423348,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,18800,16920,1880,10%,940점,20200102,106148
5,외국어,해커스 토익 스타트 리딩 RC,8965423376,9788965423379,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,14900,13410,1490,10%,740점,20200102,79478
6,외국어,ETS 토익 기출 공식입문서 RC 리딩,8917230504,9788917230505,13740,와이비엠,ETS 지음,14800,13320,1480,10%,740점,20181122,37161
7,외국어,해커스 토익 LC 리스닝 LISTENING,896542335X,9788965423355,,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,18800,16920,1880,10%,940점,20200102,81860
8,외국어,중국어뱅크 집중 중국어 STEP 1,K942531382,9791157682652,14720,동양북스(동양문고),"김태순.안영희 지음, 주샤오찌엔.리따쑤이 감수, 동양북스 교재개발연구소 기획",14000,14000,0,0%,420점,20170720,16928
9,외국어,English for Everyday Activities 한글판,K932738921,9791162371732,14740,Compass Publishing,Lawrence J. Zwier 지음,14000,12600,1400,10%,700점,20201216,49385
10,외국어,해커스 토익 스타트 리스닝 LC,8965423384,9788965423386,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,14900,13410,1490,10%,740점,20200102,61257
11,외국어,다락원 중국어 마스터 Step 1 (교재 + 워크북 1권 + CD 2장),895995649X,9788959956494,18720,다락원,박정구.백은희 지음,13800,12420,1380,10%,690점,20080630,23288
12,외국어,ETS 토익 정기시험 기출문제집 1000 Vol.1 Reading,8917230563,9788917230567,14740,(주)YBM(와이비엠),ETS 엮음,17800,16020,1780,10%,890점,20181217,83206
13,외국어,ETS 토익 정기시험 기출문제집 1000 Vol.1 Listening,8917230555,9788917230550,14740,(주)YBM(와이비엠),ETS 엮음,17800,16020,1780,10%,890점,20181217,75142
14,외국어,ETS 토익 기출 공식입문서 LC 리스닝,8917230490,9788917230499,13740,와이비엠,ETS 지음,14800,13320,1480,10%,740점,20181122,29202
15,외국어,신공략 중국어 1,8927722426,9788927722427,18720,다락원,"Ma Jianfei 외 지음, 변형우 외 옮김",14000,12600,1400,10%,700점,20190107,14361
16,외국어,해커스 토익 실전 1000제 1 LC 리스닝 문제집 (Hackers TOEIC Listening),8965422612,9788965422617,13740,해커스어학연구소(Hackers),해커스어학연구소 지음,11900,10710,1190,10%,590점,20181126,84930
17,외국어,해커스 토익 실전 1000제 1 RC 리딩 문제집 (Hackers TOEIC Reading),8965422639,9788965422631,13740,해커스어학연구소(Hackers),해커스어학연구소 지음,11900,10710,1190,10%,590점,20200423,97735
18,외국어,EBS 왕초보 영어 (2021 상편),8954757227,9788954757225,13740,한국교육방송공사(기타),"EBS 기획, 마스터유진 지음",11000,9900,1100,10%,550점,20210205,29625
19,외국어,해커스 신토익 중급 리딩 RC (Hackers TOEIC RC),896542173X,9788965421733,13740,해커스어학연구소(Hackers),데이빗 조 (David Cho) 지음,14900,13410,1490,10%,740점,20200522,37901
20,외국어,ETS 토익 단기 공략 750+ (LC + RC),8917235948,9788917235944,13740,(주)YBM(와이비엠),ETS 지음,18000,16200,1800,10%,900점,20200820,19959
