순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,자기계발,마지막 몰입,K152738321,9791162541968,3190,비즈니스북스,"짐 퀵 지음, 김미정 옮김",16800,15120,1680,10%,840점,20210223,60070
2,자기계발,절대 배신하지 않는 공부의 기술,8901248751,9788901248752,3190,웅진지식하우스,이상욱 지음,15500,13950,1550,10%,770점,20210223,24980
3,자기계발,미라클 모닝,K902434025,9791157841110,13320,한빛비즈,"할 엘로드 지음, 김현수 옮김",12000,10800,1200,10%,600점,20160222,57292
4,자기계발,IT 좀 아는 사람,K792737250,9791155813355,3320,윌북,"닐 메타 외 지음, 김고명 옮김",17800,16020,1780,10%,890점,20210120,29100
5,자기계발,자아와 명상 1 워크북,K592534155,9791195522897,3220,아름다운인연,동국대학교 자아와 명상 교재편찬위원회 지음,6000,5400,600,10%,60점,20190225,17735
6,자기계발,조금 알고 적당히 모르는 오십이 되었다,8935213403,9788935213405,3320,청림출판,이주희 지음,14500,13050,1450,10%,720점,20210217,17925
7,자기계발,발표와 토론,K072638303,9791162444900,93800,역락,이동욱 외 지음,10000,10000,0,0%,0점,20200225,16648
8,자기계발,방구석 노트북 하나로 월급 독립 프로젝트,8901248778,9788901248776,3320,리더스북,노마드 그레이쓰 지음,16000,14400,1600,10%,800점,20210217,14080
9,자기계발,멘탈의 연금술,K132736870,9791158511982,3190,토네이도,"보도 섀퍼 지음, 박성원 옮김",16000,14400,1600,10%,800점,20201214,36315
10,자기계발,창의적 공학설계,K242631175,9791156644934,93560,한빛아카데미(교재),김은경 지음,23000,23000,0,0%,"1,150점",20200710,11641
11,자기계발,오은영의 화해,8997396870,9788997396870,3180,코리아닷컴(Korea.com),오은영 지음,16000,14400,1600,10%,800점,20190110,44164
12,자기계발,타인을 읽는 말,8965964229,9788965964223,3180,흐름출판,"로런스 앨리슨 외 지음, 김두완 옮김",16000,14400,1600,10%,800점,20210115,37315
13,자기계발,유리멘탈을 위한 심리책,8901248158,9788901248158,3180,갤리온,"미즈시마 히로코 지음, 전경아 옮김",14000,12600,1400,10%,700점,20210127,19485
14,자기계발,책읽기가 필요하지 않은 인생은 없다,K482738733,9791162542002,3190,비즈니스북스,김애리 지음,14500,13050,1450,10%,720점,20210302,7380
15,자기계발,나를 바꾼 기록 생활,K382738822,9791190473552,3810,뜻밖,신미경 지음,13000,11700,1300,10%,650점,20210205,12805
16,자기계발,"부자의 1원칙, 몸에 투자하라",8968332932,9788968332937,3190,블랙피쉬,유영만.김예림 지음,16000,14400,1600,10%,800점,20210215,7900
17,자기계발,나의 하루는 4시 30분에 시작된다,K922633306,9791158511906,3190,토네이도,김유진 지음,15000,13500,1500,10%,750점,20201020,91665
18,자기계발,데일 카네기 인간관계론,K032636279,9791187142560,3320,현대지성,"데일 카네기 지음, 임상훈 옮김",11500,10350,1150,10%,570점,20191007,68481
19,자기계발,아주 작은 습관의 힘,K832534441,9791162540640,3190,비즈니스북스,"제임스 클리어 지음, 이한이 옮김",16000,14400,1600,10%,800점,20190226,81416
20,자기계발,타이탄의 도구들 (리커버),K622638126,9791158510619,3190,토네이도,"팀 페리스 지음, 박선령.정지현 옮김",15000,13500,1500,10%,750점,20200309,58175
21,자기계발,생각의 각도,K632738627,9791187059653,3190,끌리는책,이민규 지음,15800,14220,1580,10%,790점,20210302,5570
22,자기계발,어른의 습관,K282735345,9791189584924,3190,포레스트북스,"아리카와 마유미 지음, 한주희 옮김",12000,10800,1200,10%,600점,20201125,8170
23,자기계발,더 해빙 (40만부 기념 리커버 에디션),K272633615,9791190382175,3320,수오서재,이서윤.홍주연 지음,16000,14400,1600,10%,800점,20200301,162087
24,자기계발,다산의 마지막 습관,8935213349,9788935213344,3100,청림출판,조윤제 지음,16000,14400,1600,10%,800점,20201116,51258
25,자기계발,자아와 명상 2 워크북,K132635654,9791196791704,3220,아름다운인연,동국대학교 자아와 명상 교재편찬위원회 지음,5500,4950,550,10%,50점,20190825,8691
26,자기계발,일을 잘한다는 것,8901248166,9788901248165,3320,리더스북,"야마구치 슈 외 지음, 김윤경 옮김",16000,14400,1600,10%,800점,20210118,22820
27,자기계발,메이크 타임,8934995254,9788934995258,3320,김영사,"제이크 냅.존 제라츠키 지음, 박우정 옮김",14800,13320,1480,10%,740점,20190429,15689
28,자기계발,사장의 탄생,K682738124,9791190030847,3200,어크로스,"데이비드 색스 지음, 이승연 옮김",17800,16020,1780,10%,890점,20210210,6220
29,자기계발,사랑 수업,K382736715,9791186757666,3190,심플라이프,윤홍균 지음,16000,14400,1600,10%,800점,20201215,21890
30,자기계발,커리어디자인,K402738628,9791197343308,3370,동국대학교출판부,동국대학교 역량개발센터 지음,14000,13300,700,5%,700점,20210221,3550
31,자기계발,그렇게 말해줘서 고마워,K602633404,9791190299145,3810,FIKA(피카),김유진 지음,14800,13320,1480,10%,740점,20201015,32271
32,자기계발,운을 부르는 습관,8927812034,9788927812036,3190,중앙books(중앙북스),"게이 헨드릭스.캐럴 클라인 지음, 김은경 옮김",16000,14400,1600,10%,800점,20210222,3860
33,자기계발,객관적이고 과학적인 공부법,K832737057,9791197325052,3320,차이정원,이지성.인현진 지음,16000,14400,1600,10%,800점,20210111,14825
34,자기계발,대학생을 위한 글쓰기와 포트폴리오,8988408373,9788988408377,93800,삼경문화사,남기택 외 지음,18000,18000,0,0%,0점,20130228,4669
35,자기계발,확신,K572738321,9791130634579,3190,다산북스,"롭 무어 지음, 이진원 옮김",17000,15300,1700,10%,850점,20210217,5370
36,자기계발,"심리학을 만나 행복해졌다 (특별판 리커버 에디션, 양장)",K232737324,9791158741051,3030,미디어숲,"장원청 지음, 김혜림 옮김",16800,15120,1680,10%,840점,20210210,9400
37,자기계발,하루 한 장 마음챙김,K592737267,9791136259240,3190,니들북,"루이스 L. 헤이 저자, 로버트 홀든 편자, 박선령 역자",14800,13320,1480,10%,740점,20210108,30430
38,자기계발,AI 최강의 수업,K942735488,9791164841905,3550,매일경제신문사,김진형 지음,17000,15300,1700,10%,850점,20201120,11710
39,자기계발,기분이 태도가 되지 않게,8901243652,9788901243658,3180,갤리온,"레몬심리 지음, 박영란 옮김",14000,12600,1400,10%,700점,20200630,40022
40,자기계발,아티스트 웨이,8986377454,9788986377453,3600,경당,"줄리아 카메론 지음, 임지호 옮김",17000,15300,1700,10%,850점,20120510,25528
41,자기계발,사람이 운명이다,8965702410,9788965702412,3320,쌤앤파커스,김승호 지음,15000,13500,1500,10%,750점,20150216,6138
42,자기계발,폴리매스,K682633106,9791135488399,3190,안드로메디안,"와카스 아메드 지음, 이주만 옮김",18800,16920,1880,10%,940점,20200929,28777
43,자기계발,아침이 달라지는 저녁 루틴의 힘,K262737123,9791157686834,3190,동양북스(동양문고),류한빈 지음,14500,13050,1450,10%,720점,20210113,16095
44,자기계발,인생도 복리가 됩니다,8960518263,9788960518261,3190,부키,"대런 하디 지음, 유정식 옮김",16000,14400,1600,10%,800점,20201215,6125
45,자기계발,"8등급 꼴찌, 수석 졸업하게 된 9가지 공부 비결",K082738731,9791191292039,3370,더배움(인성재단),최근용 지음,15000,13500,1500,10%,750점,20210331,3410
46,자기계발,나는 오늘만 최선을 다하기로 했다 데일리 루틴,K842738829,9791197345708,3190,데이비드스톤,허두영 지음,16000,14400,1600,10%,800점,20210222,3515
47,자기계발,그릿 GRIT (100쇄 기념 리커버 에디션),K102534140,9791162540633,3190,비즈니스북스,"앤절라 더크워스 지음, 김미정 옮김",16000,14400,1600,10%,800점,20190220,46978
48,자기계발,상처받지 않는 영혼,8998075083,9788998075088,3840,라이팅하우스,"마이클 싱어 지음, 이균형 옮김, 성해영 감수",15000,13500,1500,10%,750점,20140508,23689
49,자기계발,코딩 진로,K152738023,9791135494598,3190,호모루덴스,류채윤.맹윤호.박민수 지음,22000,19800,2200,10%,"1,100점",20210210,6240
50,자기계발,데일 카네기 자기관리론,K432737052,9791191280333,3320,현대지성,"데일 카네기 지음, 임상훈 옮김",11500,10350,1150,10%,570점,20210113,8815
51,자기계발,마음챙김,K252737327,9791135493218,3180,안드로메디안,"샤우나 샤피로 지음, 박미경 옮김",16500,14850,1650,10%,820점,20210106,22830
52,자기계발,Do it! 첫 코딩 with 파이썬,K332737223,9791163032151,13000,이지스퍼블리싱,정동균 지음,18000,16200,1800,10%,900점,20210115,3535
53,자기계발,하버드 100년 전통 말하기 수업 (리커버),8972773417,9788972773412,3320,리드리드출판(한국능률협회),"류리나 지음, 이에스더 옮김",15800,14220,1580,10%,790점,20201111,17278
54,자기계발,어른의 어휘력,K102631725,9791190710053,3800,앤의서재,유선경 지음,16500,14850,1650,10%,820점,20200815,44054
55,자기계발,나는 무조건 합격하는 공부만 한다,K162636917,9791162541210,3190,비즈니스북스,이윤규 지음,15000,13500,1500,10%,750점,20191216,49903
56,자기계발,파워블로거 핑크팬더의 블로그 글쓰기,8973435299,9788973435296,13190,평단(평단문화사),이재범 지음,14000,12600,1400,10%,700점,20210305,4170
57,자기계발,나를 사랑하는 연습,K812636930,9791162143056,3800,부크럼,정영욱 지음,14000,12600,1400,10%,700점,20200102,19149
58,자기계발,횡설수설하지 않고 핵심만 말하는 법,K582738835,9791190826433,3190,유노북스,"야마구치 다쿠로 지음, 김슬기 옮김",14000,12600,1400,10%,700점,20210309,2530
59,자기계발,한 번이라도 모든 걸 걸어본 적 있는가,K492735319,9791190356886,3190,센시오,전성민 지음,15000,13500,1500,10%,750점,20201130,13300
60,자기계발,우유곽 대학을 빌려 드립니다,8950926601,9788950926601,3320,21세기북스,"강우현.이길여.조엘 오스틴.안성기.박원순.윤윤수 외 지음, 최영환 엮음",14000,12600,1400,10%,700점,20101009,11283
61,자기계발,행복도 배워야 합니다,K802738924,9791188912025,3190,특별한서재,이시형 지음,16000,14400,1600,10%,800점,20210215,3440
62,자기계발,관점을 디자인하라,8965706831,9788965706830,3320,쌤앤파커스,박용후 지음,16000,14400,1600,10%,800점,20181010,8504
63,자기계발,가르치는 힘,8969521089,9788969521088,3320,경향BP,"사이토 다카시 지음, 강수연 옮김",3600,3240,360,10%,210점,20160504,3579
64,자기계발,습관의 디테일,8965964040,9788965964049,3190,흐름출판,"BJ 포그 지음, 김미정 옮김",16000,14400,1600,10%,800점,20201021,30823
65,자기계발,프레임,8950966441,9788950966447,3320,21세기북스,최인철 지음,16000,14400,1600,10%,800점,20160901,26242
66,자기계발,어웨이크,K692736065,9791164160716,3190,책들의정원,박세니 지음,16000,14400,1600,10%,800점,20201230,8300
67,자기계발,백만장자 메신저,8901222663,9788901222660,3320,리더스북,"브렌든 버처드 지음, 위선주 옮김",18000,16200,1800,10%,900점,20180427,17619
68,자기계발,초집중의 힘,8925589060,9788925589060,3190,알에이치코리아(RHK),박세니 지음,15000,13500,1500,10%,750점,20210225,3010
69,자기계발,1페이지 공부법,K832738329,9791190931359,13370,비에이블,홍민영 지음,16500,14850,1650,10%,820점,20210219,2600
70,자기계발,리더는 칭찬하지 않는다,8925589230,9788925589237,3320,알에이치코리아(RHK),"기시미 이치로 지음, 류두진 옮김",15000,13500,1500,10%,750점,20210117,7970
71,자기계발,나는 4시간만 일한다 (리커버 에디션),K962639742,9791185584454,3320,다른상상,"팀 페리스 지음, 최원형.윤동준 옮김",14800,13320,1480,10%,740점,20171020,20625
72,자기계발,부자의 언어,K652638520,9791155812594,3320,윌북,"존 소포릭 지음, 이한이 옮김",16800,15120,1680,10%,840점,20200325,14972
73,자기계발,생각을 걸러내면 행복만 남는다,8935704156,9788935704156,3190,정신세계사,"노아 엘크리프 지음, 이문영 옮김",16500,14850,1650,10%,820점,20180208,4557
74,자기계발,레이트 블루머,8947546887,9788947546881,3320,한국경제신문,"리치 칼가아드 지음, 엄성수 옮김",19800,17820,1980,10%,990점,20210210,3120
75,자기계발,200가지 고민에 대한 마법의 명언,K052738386,9791186151440,3190,리텍콘텐츠,이서희 지음,15500,13950,1550,10%,770점,20210218,3635
76,자기계발,놓치고 싶지 않은 나의 꿈 나의 인생 1,8974259877,9788974259877,14320,국일미디어(국일출판사),"나폴레온 힐 지음, 권혁철 옮김",15000,13500,1500,10%,750점,20210104,6545
77,자기계발,5년 후 나에게 - Q&A a day (2021 메모리아 화이트 Gift Edition),K952735119,9791158510244,14190,토네이도,"포터 스타일 지음, 정지현 옮김",16800,15120,1680,10%,840점,20201118,25990
78,자기계발,"실전 보고서 작성 기술 with 파워포인트, 워드, 한글",K202737695,9791162243763,13000,한빛미디어,홍장표 지음,18000,16200,1800,10%,900점,20201228,4105
79,자기계발,레버리지 (양장),K792635913,9791130621678,13320,다산북스,"롭 무어 지음, 김유미 옮김",16000,14400,1600,10%,800점,20190603,12684
80,자기계발,원씽 The One Thing (리커버 특별판),8997575163,9788997575169,"13190
",비즈니스북스,"게리 켈러 & 제이 파파산 지음, 구세희 옮김",14000,12600,1400,10%,700점,20130820,17329
81,자기계발,성공하는 사람들의 7가지 습관,8934977914,9788934977919,3320,김영사,"스티븐 코비 지음, 김경섭 옮김",18900,17010,1890,10%,940점,20170502,29072
82,자기계발,지금 이 순간을 살아라,8987203956,9788987203959,3840,양문,"에크하르트 톨레 지음, 노혜숙.유영일 옮김",12500,11250,1250,10%,620점,20080902,22427
83,자기계발,소녀는 어떻게 어른이 되는가,8963723453,9788963723457,3180,양철북,"레이철 시먼스 지음, 강나은 옮김",17000,15300,1700,10%,850점,20210209,2585
84,자기계발,사람은 무엇으로 움직이는가,K542738898,9791191056433,3320,인플루엔셜(주),"모리 타헤리포어 지음, 이수경 옮김",16800,15120,1680,10%,840점,20210205,5815
85,자기계발,시작의 기술 (리커버),8901230658,9788901230658,3320,웅진지식하우스,"개리 비숍 지음, 이지연 옮김",16000,14400,1600,10%,800점,20190417,31100
86,자기계발,에이트,K702636286,9791188388905,3320,차이정원,이지성 지음,17000,15300,1700,10%,850점,20191021,86616
87,자기계발,PresenTation Coaching Book,8966182410,9788966182411,3000,길벗,이승일 외 지음,15000,13500,1500,10%,750점,20111111,2604
88,자기계발,혼자 사는데 돈이라도 있어야지,8957362800,9788957362808,3320,가나출판사,윤경희 지음,13800,12420,1380,10%,690점,20210310,2240
89,자기계발,산으로 가지 않는 정리법,8984078069,9788984078062,3320,세종(세종서적),"박신영 지음, 린지 그림",16000,14400,1600,10%,800점,20210305,2220
