순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,잡지,코믹 챔프 Vol.06,K012739038,9771228480004,,대원씨아이(잡지),대원씨아이 편집부 지음,3000,2850,150,5%,90점,20210303,33360
2,잡지,과학소년 2021.3,K532738832,9771228621001,,교원문고(잡지),과학소년 편집부 지음,10000,9500,500,5%,270점,20210224,16910
3,잡지,개역개정 매일성경 2021.3.4 (본문수록),K072738827,9771976286002,,성서유니온선교회,매일성경 편집부 지음,4000,3800,200,5%,110점,20210301,41080
4,잡지,위즈키즈 2021.3,K122738833,9771739145003,,(주)교원,위즈키즈 편집부 지음,10000,9500,500,5%,280점,20210224,12270
5,잡지,어린이 과학동아 Vol.05 : 2021.03.01,K522738930,9771739361205,,동아사이언스(잡지),과학동아 편집부 지음,11000,10450,550,5%,320점,20210225,9780
6,잡지,마리끌레르 Marie Claire A형 2021.3 (표지 : 김태리),K362738428,9771227734016,,mck(잡지),마리끌레르 편집부 지음,6500,6170,330,5%,180점,20210217,18275
7,잡지,청소년 매일성경 2021.3.4,K722738826,9771228437008,,성서유니온선교회,매일성경 편집부 지음,4000,3800,200,5%,110점,20210301,51815
8,잡지,맥심 Maxim B형 2021.3 : 갑을관계 편,K532738735,9772233427039,,와이미디어(잡지),맥심코리아 편집부 지음,6900,6550,350,5%,190점,20210223,11040
9,잡지,EBS FM Radio 입이 트이는 영어 2021.3,K192738427,9771976770006,,동아출판(방송교재),이현석 지음,10000,9500,500,5%,270점,20210219,11550
10,잡지,매일성경 순 2021.3.4,K942738827,9772005010001,,성서유니온선교회(잡지),매일성경 편집부 지음,4500,4270,230,5%,120점,20210301,25155
11,잡지,큐티인 2021.3.4 (작은글씨),K062738026,9772586340009,,큐티엠(QTM),큐티인 편집부 지음,4000,3800,200,5%,110점,20210301,24550
12,잡지,개역개정 매일성경 2021.3.4 (큰글본문),K022738827,9771976285005,,성서유니온선교회,매일성경 편집부 지음,4500,4270,230,5%,120점,20210301,42005
13,잡지,고학년 어린이 매일성경 2021.3.4,K832738826,9771228436001,,성서유니온선교회,매일성경 편집부 지음,4000,3800,200,5%,110점,20210301,23385
14,잡지,우먼센스 2021.3,K612738525,9771228337001,,서울문화사(잡지),우먼센스 편집부 지음,9500,9020,480,5%,280점,20210219,9940
15,잡지,맥심 Maxim A형 2021.3 : 갑을관계 편,K432738735,9772233427008,,와이미디어(잡지),맥심코리아 편집부 지음,6900,6550,350,5%,190점,20210223,8480
16,잡지,EBS FM Radio Easy Writing 이지 라이팅 2021.3,K132738427,9772234148001,,동아출판(방송교재),마스터유진 지음,9000,8550,450,5%,250점,20210219,8150
17,잡지,필라테스 S Pilates S C형 2021.3 (표지 : 여자친구 예린),K202739033,9772636147039,,메커니즘(잡지),필라테스S 편집부 지음,8500,8070,430,5%,250점,20210303,9910
18,잡지,저학년 어린이 매일성경 2021.3.4,K842738826,9771599205008,,성서유니온선교회,매일성경 편집부 지음,4000,3800,200,5%,110점,20210301,18830
19,잡지,싱글즈 Singles B형 2021.3 (표지 : ITZY),K542738328,9771739316014,,더북컴퍼니,싱글즈 편집부 지음,6500,6170,330,5%,180점,20210215,12985
20,잡지,과학동아 2021.3,K422738930,9771228340001,,동아사이언스(잡지),과학동아 편집부 지음,15000,14250,750,5%,430점,20210225,4420
21,잡지,큐티인 2021.3.4 (큰글씨),K012738026,9772586339003,,큐티엠(QTM),큐티인 편집부 지음,5000,4750,250,5%,140점,20210301,21680
22,잡지,엘르 Elle A형 2021.3 (표지 : 배두나 3종 중 랜덤),K172738320,2542708416007,,허스트중앙(Hearst-Joongang),허스트중앙 편집부 지음,8900,8450,450,5%,260점,20210215,30870
23,잡지,인권과 도덕성은 자연계의 일부인가,K022739135,9772383984000,,바다출판사,스켑틱 협회 편집부 엮음,15000,13500,1500,10%,680점,20210305,4010
24,잡지,Newton 뉴턴 2021.3,K572738526,9771227130009,,아이뉴턴(월간지),뉴턴 편집부 지음,12000,11400,600,5%,330점,20210219,5180
25,잡지,필라테스 S Pilates S B형 2021.3 (표지 : 여자친구 예린),K142739033,9772636147022,,메커니즘(잡지),필라테스S 편집부 지음,8500,8070,430,5%,230점,20210303,4310
26,잡지,생명의 삶 2021.3 (개역개정판.새찬송가),K402738123,9771975740017,,두란노(잡지),생명의삶 편집부 지음,4000,3800,200,5%,110점,20210209,19300
27,잡지,큐티아이 매일성경 2021.3.4,K872738826,9772234637000,,성서유니온선교회,매일성경 편집부 지음,6000,5700,300,5%,170점,20210301,15345
28,잡지,EBS FM Radio Start English 2021.3,8900462121,9788900462128,,동아출판(방송교재),이보영 지음,7000,6650,350,5%,190점,20210219,6510
29,잡지,EBS FM Radio Easy English 초급 영어 회화 2021.3,K112738427,9771228594008,,동아출판(방송교재),김태연 지음,7000,6650,350,5%,190점,20210219,6660
30,잡지,어린이 큐티인 2021.3.4,K382738026,9772586337009,,큐티엠(QTM),큐티인 편집부 지음,5000,4750,250,5%,140점,20210301,12410
31,잡지,EBS FM Radio Power English 중급 영어회화 2021.3,K252738427,9771228593001,,동아출판(방송교재),크리스틴 조 지음,7000,6650,350,5%,190점,20210219,5950
32,잡지,여성조선 2021.3,K382738628,9772093526002,,조선뉴스프레스(월간지),여성조선 편집부 지음,9900,9400,500,5%,290점,20210219,6570
33,잡지,씨네21 No.1295 : 2021.03.09,K372738034,9771228402006,,씨네21(주간지),씨네21 편집부 지음,4000,3800,200,5%,110점,20210226,3700
