순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,장르소설,달러구트 꿈 백화점,K392630952,9791165341909,3810,팩토리나인,이미예 지음,13800,12420,1380,10%,690점,20200708,374943
2,장르소설,그녀는 다 계획이 있다,K182738525,9791136264473,3830,하빌리스,"히가시노 게이고 지음, 양윤옥 옮김",15800,14220,1580,10%,790점,20210226,30520
3,장르소설,우리가 빛의 속도로 갈 수 없다면,K462635914,9791190090018,3810,허블,김초엽 지음,14000,12600,1400,10%,700점,20190624,165006
4,장르소설,마녀의 여행 8,K742739030,9791166114663,,㈜소미미디어,"시라이시 죠우기 지음, 아즈루 그림, 이신 옮김",9800,8820,980,10%,490점,20210311,13100
5,장르소설,요리코를 위해,K612638684,9791196814342,3830,모모,"노리즈키 린타로 지음, 이기웅 옮김",15000,13500,1500,10%,750점,20200304,18700
6,장르소설,Re : 제로부터 시작하는 이세계 생활 24,K042738324,9791166256851,4830,영상출판미디어(주),"나가츠키 탓페이 지음, 오츠카 신이치로 그림, 정홍식 옮김",7500,6750,750,10%,370점,20210304,20715
7,장르소설,우리는 이 별을 떠나기로 했어,K142738031,9791190090377,3810,허블,천선란 외 지음,13000,11700,1300,10%,650점,20210302,12100
8,장르소설,하이큐!! 13,K862738833,9791136263438,7830,대원씨아이(단행본),"호시 키요코 지음, 양혜석 옮김, 후루다테 하루이치",7000,6300,700,10%,350점,20210225,16500
9,장르소설,데스마치에서 시작되는 이세계 광상곡 21,K342738039,9791127858773,4830,디앤씨미디어(주)(D&C미디어),"아이나나 히로 지음, 박경용 옮김, shri 그림",9500,8550,950,10%,470점,20210310,9940
10,장르소설,멋진 신세계,8973814729,9788973814725,3840,(주)태일소담출판사,"올더스 헉슬리 지음, 안정효 옮김",13800,12420,1380,10%,690점,20150612,59210
11,장르소설,친구 여동생이 나한테만 짜증나게 군다 3,K692738039,9791127858827,4830,디앤씨미디어(주)(D&C미디어),"미카와 고스트 지음, 토마리 그림, 이승원 옮김",7800,7020,780,10%,390점,20210310,9510
12,장르소설,어서 오세요 실력지상주의 교실에 2학년 편 1,K552738325,9791166114564,4830,㈜소미미디어,"키누가사 쇼고 지음, 토모세 슌사쿠 그림, 조민정 옮김",7500,6750,750,10%,370점,20210225,19310
