순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,전집/중고전집,아홉 살 사전 전4권 세트,K312530452,,,창비,,45000,40500,4500,10%,450점,20170310,1816
2,전집/중고전집,(특별한정판!) 박시백의 조선왕조실록 세트 전20권,K992631971,,,휴머니스트,,110000,99000,11000,10%,"1,100점",20190101,2910
3,전집/중고전집,아홉 살 사전 시리즈 세트 (전4권) ,K862530630,,,창비,,45000,40500,4500,10%,450점,20000101,750
4,전집/중고전집,"2020년 최신판 예림당 Why와이 교과서 중심만화 3학년 시리즈 why세트 교과서중심만화세트 [전4권] =(국어,수학,사회,과학) 4과목[정품새책 ]+[초등와이문제집2권증정[가격",K452434051,,,예림당,,36000,32400,3600,10%,330점,20200105,2377
5,전집/중고전집,마법천자문 49번 50번 전2권 세트/알림장 증정,6000786807,,,올댓스토리,,24000,21600,2400,10%,240점,20210120,1742
6,전집/중고전집,초등 2학년 필독 권장 도서 베스트 6종,6000400868,,,책이랑,,65500,58950,6550,10%,650점,20080523,535
7,전집/중고전집,(전6권)초등2학년 원리셈 1~6권 세트,K642738835,,,,,39000,35100,3900,10%,390점,20141205,210
8,전집/중고전집,"(전3권)상위권 수학 960 A단계 세트(측정, 문제해결, 도형)",K732738922,,,시매쓰,,39000,35100,3900,10%,390점,20201212,440
9,전집/중고전집,메이플 스토리 수학도둑 76~80번 전5권 세트/아동도서1권+노트5권 증정,K692536276,,,서울문화사,,52500,47250,5250,10%,520점,20210120,714
10,전집/중고전집,어린이 삼국지(주니어김영사) 시리즈 5권 세트(아동학습만화 1권+종합장+문구세트증정),6000748468,,,주니어김영사,,55000,49500,5500,10%,500점,20140228,1106
11,전집/중고전집,백희나 그림책 대표작 5종 세트,6000499248,,,한솔수북(전집),,60000,54000,6000,10%,600점,20210223,322
12,전집/중고전집,십년가게 1~3권 세트,6000480271,,,스콜라(위즈덤하우스),,39000,35100,3900,10%,390점,20000101,842
13,전집/중고전집,엘프고 코믹스 1~3권 세트/노트 증정,6000427490,,,겜툰,,36000,32400,3600,10%,0점,20210217,423
14,전집/중고전집,Smart Phonics (New Edition) Student Book 1-5권 세트,6000425823,,,이퓨쳐,,65000,58500,6500,10%,650점,20170101,864
15,전집/중고전집,초등 1학년 필독 권장 도서 베스트 7종,6000398679,,,책이랑,,67500,60750,6750,10%,670점,20050915,284
16,전집/중고전집,(노트증정) 혼령 장수 3권 세트 [ 전3권 ] ,K942738628,,,고래가숨쉬는도서관,,36000,32400,3600,10%,360점,20000101,180
17,전집/중고전집,"(전3권)상위권 수학 960 C단계 세트(측정, 도형, 문제해결)",K862738922,,,시매쓰,,39000,35100,3900,10%,390점,20201212,255
18,전집/중고전집,10대를 위한 경제학 수첩+10대를 위한 경제학 수첩 플러스 전2권 세트(노트 증정),K432531691,,,아르볼,,20000,18000,2000,10%,200점,20170310,186
19,전집/중고전집,(시공주니어)옛이야기의 매력 1+2권 묶음세트(전2권),K602530144,,,,,19000,17100,1900,10%,190점,19980620,642
20,전집/중고전집,받침 없는 동화 1~10권 세트/유아도서+알림장 증정/개정판,K952536293,,,받침없는동화,,75000,67500,7500,10%,750점,20190220,996
21,전집/중고전집,똑똑한 어린이 K종이접기 급수 1~3급 전3권 세트/색종이3개 증정,K422536565,,,종이나라,,28000,25200,2800,10%,280점,20210102,841
22,전집/중고전집,책 먹는 여우 시리즈 1~4권 세트/문구세트 증정,K662535931,,,주니어김영사,,46000,41400,4600,10%,460점,20201210,577
23,전집/중고전집,"2020년 최신판 예림당 Why와이 교과서 중심만화 4학년 시리즈 why세트 교과서중심만화세트 [전4권] =(국어,수학,사회,과학) 4과목[정품새책 ]+[초등와이문제집2권증정[가격",K462434051,,,예림당,,36000,32400,3600,10%,330점,20200105,1365
24,전집/중고전집,[개정신판]이문열 형민우 만화 초한지 1~10권 세트/아동도서1권+노트1권 증정,6000763914,,,고릴라박스,,95000,85500,9500,10%,950점,20200726,1465
25,전집/중고전집,큰 별샘 최태성의 초등 별별 한국사 1~7권 세트(아동도서+문구세트+한국사연표 증정),6000563676,,,(주)엠비씨씨앤아이,,84000,75600,8400,10%,840점,20181221,543
26,전집/중고전집,초등 5학년 필독 권장 도서 베스트 6종,6000400872,,,기타,,67600,60840,6760,10%,670점,20000120,465
27,전집/중고전집,(전6권)초등1학년 원리셈 1~6권 세트,K632738835,,,,,39000,35100,3900,10%,390점,20141205,160
28,전집/중고전집,[아울북]마법천자문E 41~50번 (전10권)개정판 AR적용 재정가,K842738627,,,아울북,,99000,89100,9900,10%,990점,20210210,170
29,전집/중고전집,(전5권)기탄수학 K1~5집 세트/예비중1,K102738622,,,,,25000,22500,2500,10%,250점,20081027,160
30,전집/중고전집,나는 강물처럼 말해요+괜찮을 거야 (전2권),K682738285,,,책읽는곰,,26000,23400,2600,10%,260점,20000101,310
31,전집/중고전집,[2종사은품증정][개정판][아울북]마법천자문 47번-50번 (전4권),K692738283,,,아울북,,48000,43200,4800,10%,480점,20000101,90
32,전집/중고전집,[4종사은품증정][개정판][아울북]마법천자문 44번-50번 (전7권),K422738283,,,아울북,,84000,75600,8400,10%,840점,20000101,175
33,전집/중고전집,메모지) 그르니에 선집 1-4권 세트 (전4권) 섬 카뮈 장 그르니에,K852737254,,,민음사,,48000,43200,4800,10%,480점,20000101,275
34,전집/중고전집,[아이세움]설민석의 만만한국사 1-2(전2권),K652737254,,,아이세움,,24000,21600,2400,10%,240점,20000101,230
35,전집/중고전집,[사은품증정][위즈덤하우스]놓지마 초등영단어 1~2번+초등영어표현+초등영어따라쓰기 (전4권),K272737428,,,위즈덤하우스,,56000,50400,5600,10%,560점,20000101,145
36,전집/중고전집,(전8권)이상한 과자 가게 전천당 세트(2-9번)(볼펜 증정),K632736339,,,길벗스쿨,,96000,86400,9600,10%,960점,20201207,245
37,전집/중고전집,(전4권)놓지 마 과학(11-14)세트(볼펜 증정),K392631615,,,위즈덤하우스,,48000,43200,4800,10%,480점,20200724,187
38,전집/중고전집,엄마랑 세이펜 호환 학습 낱말카드 150장 한글 유아 세트,K922631374,,,훈민출판사,,25000,16500,8500,34%,250점,20210101,442
39,전집/중고전집,(전3권)빨라지고 강해지는 이것이 도형이다 초등1학년 A세트,K542631276,,,,,33000,29700,3300,10%,330점,20200615,151
40,전집/중고전집,(전2권)추리논리퀴즈 셜록홈스+이상한나라의 앨리스(볼펜 증정),K992631174,,,빨간콩,,30000,27000,3000,10%,300점,20191201,298
