순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,종교/역학,자아와 명상 1 워크북,K592534155,9791195522897,3220,아름다운인연,동국대학교 자아와 명상 교재편찬위원회 지음,6000,5400,600,10%,60점,20190225,17735
2,종교/역학,아이에게 배우는 아빠,8936514717,9788936514716,3230,홍성사,이재철 지음,15000,13500,1500,10%,750점,20210126,30775
3,종교/역학,인간의 이해 1,8971082852,9788971082850,4100,가톨릭대학교출판부,가톨릭대학교인간학연구소 지음,13000,12350,650,5%,650점,20170215,6800
4,종교/역학,성경공부와 묵상으로 탐구하는 구약과 신약의 인물,K262535910,9791186595220,3230,대서,정수화 지음,17000,15300,1700,10%,850점,20160830,4561
5,종교/역학,카이로스 2 : 하나님의 타이밍,K242738321,9791165041854,3230,규장(규장문화사),고성준 지음,12000,10800,1200,10%,600점,20210222,6880
6,종교/역학,자아와 명상 2 워크북,K132635654,9791196791704,3220,아름다운인연,동국대학교 자아와 명상 교재편찬위원회 지음,5500,4950,550,10%,50점,20190825,8691
7,종교/역학,카이로스 : 하나님의 시공간,K592633598,9791165041335,3230,규장(규장문화사),고성준 지음,12000,10800,1200,10%,600점,20200921,12691
8,종교/역학,로마서에 가면,K792738227,9791197035593,3230,도서출판 학영,"비벌리 로버츠 가벤타 지음, 이학영 옮김",13000,11700,1300,10%,650점,20210223,7120
9,종교/역학,에베소에서 보낸 일주일,8974355558,9788974355555,4230,이레서원,"데이비드 A. 드실바 지음, 이여진 옮김",16000,14400,1600,10%,800점,20210125,7945
10,종교/역학,십자가에서,K492738835,9791185098401,3230,터치북스,"리처드 보컴.트레버 하트 지음, 김동규 옮김",14000,12600,1400,10%,700점,20210222,4480
11,종교/역학,사람이 운명이다,8965702410,9788965702412,3320,쌤앤파커스,김승호 지음,15000,13500,1500,10%,750점,20150216,6138
12,종교/역학,기독교 다시보기,8963321290,9788963321295,3230,배재대학교출판부,이성덕 외 지음,9000,9000,0,0%,450점,20200831,4211
13,종교/역학,삶으로 다시 떠오르기,1195026129,9791195026128,3840,연금술사,"에크하르트 톨레 지음, 류시화 옮김",18000,16200,1800,10%,900점,20130815,23916
14,종교/역학,예수 평전,897297983X,9788972979838,3200,동녘,김근수 지음,25000,22500,2500,10%,"1,250점",20210225,3490
15,종교/역학,목적이 이끄는 삶 (반양장),8938814629,9788938814623,3230,디모데,릭 워렌 지음,13000,11700,1300,10%,650점,20030130,20865
16,종교/역학,기독교와 세계,K072638095,9791158903442,93230,이화여자대학교출판문화원,기독교와세계 편찬위원회 지음,18000,18000,0,0%,0점,20200228,3095
17,종교/역학,고대 이스라엘,8948703064,9788948703061,93230,한국신학연구소,"허셜 섕크스 엮음, 김유기 옮김",27000,24300,2700,10%,"1,350점",20050130,3080
18,종교/역학,탄허 선사의 사교 회통 사상,K032632929,9791189269722,94220,민족사,문광 지음,28000,25200,2800,10%,"1,400점",20200825,3716
19,종교/역학,조직신학,8944785058,9788944785054,93230,CH북스(크리스천다이제스트),"스탠리 J. 그렌츠 지음, 신옥수 옮김",33000,29700,3300,10%,"1,650점",20170901,2627
20,종교/역학,기독교 조직신학 개론,K802434346,9791186409497,93230,새물결플러스,"다니엘 L.밀리오리 지음, 신옥수.백충현 옮김",33000,29700,3300,10%,"1,650점",20160411,3917
21,종교/역학,1세기 그리스도인의 공동읽기,8932818096,9788932818092,93230,IVP,"브라이언 라이트 지음, 박규태 옮김",23000,20700,2300,10%,"1,150점",20210210,3890
22,종교/역학,코로나 이후 목회,8953139260,9788953139268,,두란노,"톰 레이너 지음, 정성묵 옮김",10000,9000,1000,10%,500점,20201209,7500
23,종교/역학,순전한 기독교 (개정무선판),8936513265,9788936513269,3230,홍성사,"클라이브 스테이플즈 루이스 지음, 장경철.이종태 옮김",14000,12600,1400,10%,700점,20181213,14432
24,종교/역학,현대 기독교 조직신학,8939801253,9788939801257,93230,한국장로교출판사(한장사),"피터 C. 하지슨 외 엮음, 윤철호 옮김",30000,27000,3000,10%,"1,500점",20150320,2571
25,종교/역학,기독교회사,8944702764,9788944702761,93230,CH북스(크리스천다이제스트),"윌리스턴 워커 지음, 송인설 옮김",32000,28800,3200,10%,"1,600점",20000310,2826
26,종교/역학,지금 이 순간을 살아라,8987203956,9788987203959,3840,양문,"에크하르트 톨레 지음, 노혜숙.유영일 옮김",12500,11250,1250,10%,620점,20080902,22427
27,종교/역학,네 마음이 어디 있느냐,K722738026,9791165041847,3230,규장(규장문화사),현승원 지음,13000,11700,1300,10%,650점,20210216,7095
28,종교/역학,나는 괜찮은 사람입니다,K532736437,9791187297260,3810,정토출판,"법륜 지음, 드로잉메리 그림",15000,13500,1500,10%,750점,20201220,21875
29,종교/역학,"답 없이 살아가기, 답 없이 사랑하기",8904167450,9788904167456,3230,생명의말씀사,김형익 지음,9000,8100,900,10%,450점,20210222,3840
30,종교/역학,예루살렘 함락 후 일주일,8934120916,9788934120919,93230,기독교문서선교회(CLC),"벤 위더링턴 3세 지음, 왕인성 옮김",10000,9000,1000,10%,500점,20210310,2100
31,종교/역학,매일 기도,895313952X,9788953139527,3230,두란노,조정민 지음,18000,16200,1800,10%,900점,20210127,5065
32,종교/역학,고대 이스라엘 역사 1,8968177945,9788968177941,94910,한국문화사,"헤르베르트 돈너 지음, 배희숙 옮김",28000,28000,0,0%,"1,400점",20190905,2033
33,종교/역학,신약개관 하나님 나라 관점으로 신약읽기,8981692238,9788981692230,93230,총신대학교출판부,정창욱 지음,18000,17100,900,5%,900점,20130415,2038
34,종교/역학,모세오경,8932521492,9788932521497,4230,성서유니온선교회,"고든 웬함 지음, 박대영 옮김",16000,14400,1600,10%,800점,20200622,2408
35,종교/역학,프랭크 루박의 편지,8904164532,9788904164530,3230,생명의말씀사,"프랭크 루박 지음, 유정희 옮김",7000,6300,700,10%,350점,20140331,6573
36,종교/역학,신약 헬라어,898255338X,9788982553387,3230,솔로몬,"조운일 옮김, 그레샴메이첸, 정훈택 감수",15000,13500,1500,10%,750점,20040101,3590
37,종교/역학,스크루테이프의 편지,8936513192,9788936513191,3230,홍성사,"C.S.루이스 지음, 김선형 옮김",11000,9900,1100,10%,550점,20181115,15772
38,종교/역학,어? 성경이 읽어지네! 구약12과 성경방 워크북,K182433722,9791195543717,3200,성경방,이애실 지음,13000,12350,650,5%,390점,20150530,12830
39,종교/역학,신성한 용기,8935704474,9788935704477,3290,정신세계사,"오스카 미로-퀘사다,보니 글래스-코핀 지음, 추미란 옮김",14000,12600,1400,10%,700점,20210226,1550
40,종교/역학,책읽는사자의 신앙의 참견,K272736335,9791165041625,3230,규장(규장문화사),책읽는사자 지음,15000,13500,1500,10%,750점,20201221,7325
41,종교/역학,더 이상 내려갈 곳이 없었다,K842636728,9791165040369,3230,규장(규장문화사),홍민기 지음,11000,9900,1100,10%,550점,20191219,4788
42,종교/역학,구약 읽기 내비게이션,K682433658,9791195543748,3230,성경방,이애실 지음,20000,19000,1000,5%,600점,20150820,11383
43,종교/역학,세계관적 성경읽기,8932502226,9788932502229,3230,성서유니온선교회,전성민 지음,11000,9900,1100,10%,550점,20210225,1590
44,종교/역학,정치적 제자도,K172739610,9791161291949,93230,새물결플러스,"빈센트 바코트 지음, 성석환 옮김",8000,7200,800,10%,400점,20210302,1310
45,종교/역학,로마서에 반하다,K192738739,9791190584180,4230,다함(도서출판),한병수 지음,45000,40500,4500,10%,"2,250점",20210302,1870
46,종교/역학,불교성전,K232738427,9791155801574,3220,대한불교조계종출판사,대한불교조계종 불교성전편찬추진위원회 엮음,23000,21850,1150,5%,690점,20210224,2100
47,종교/역학,씨 뿌리는 비유,K732739039,9791187506638,3230,무근검(남포교회출판부),박영선 지음,5000,4500,500,10%,250점,20210312,2840
48,종교/역학,모세오경,K952737773,9791187141648,94230,종문화사,이용호 지음,17000,15300,1700,10%,850점,20210110,1800
49,종교/역학,신약 시대의 사회와 문화,8904031737,9788904031733,3230,생명의말씀사,"앨버트 벨 지음, 오광만 옮김",35000,31500,3500,10%,"1,750점",20200228,2123
50,종교/역학,"팀 켈러, 결혼을 말하다",8953120500,9788953120501,3230,두란노,"팀 켈러 & 캐시 켈러 지음, 최종훈 옮김",15000,13500,1500,10%,750점,20140526,15192
51,종교/역학,5가지 사랑의 언어,8904141184,9788904141180,3230,생명의말씀사,"게리 채프먼 지음, 장동숙 옮김",11000,9900,1100,10%,550점,20100325,29298
52,종교/역학,인도 네팔 순례기,K412736235,9791189269760,3220,민족사,각전 지음,38000,34200,3800,10%,"1,900점",20201210,2500
53,종교/역학,팀 켈러의 탕부 하나님,8953125782,9788953125780,3230,두란노,"팀 켈러 지음, 윤종석 옮김",10000,9000,1000,10%,500점,20160711,15172
54,종교/역학,한국 기독교의 역사 1,8946615052,9788946615052,64230,기독교문사,한국기독교역사학회 엮음,15000,13500,1500,10%,750점,20111110,2394
55,종교/역학,베이직 비블리칼 히브리어 Grammar,8992619170,9788992619172,3230,대서,게리.D. 프라티코 외 지음,25000,22500,2500,10%,"1,250점",20090907,2041
56,종교/역학,세계교회사 (반양장),8944710546,9788944710544,94230,CH북스(크리스천다이제스트),"롤란드 베인턴 지음, 이길상 엮음",20000,18000,2000,10%,"1,000점",20010625,1755
57,종교/역학,"말씀, 그리고 사색과 결단 2",8936503731,9788936503734,4230,홍성사,이재철 지음,11000,9900,1100,10%,550점,20210129,2880
58,종교/역학,1세기 그리스도인의 선교 이야기,8932816484,9788932816487,,IVP,"로버트 뱅크스 지음, 신현기 옮김",7000,6300,700,10%,350점,20201218,9335
59,종교/역학,신학이란 무엇인가,8963603709,9788963603704,3230,복있는사람,"알리스터 맥그래스 지음, 김기철 옮김",49000,44100,4900,10%,"2,450점",20201026,3023
60,종교/역학,하나님께 듣는 성경,K232638224,9791161660776,3230,생명의양식,박흥철 지음,13000,11700,1300,10%,650점,20200314,1812
61,종교/역학,예배학 지도 그리기,8974355272,9788974355272,3230,이레서원,문화랑 지음,16500,14850,1650,10%,820점,20200307,2935
62,종교/역학,티벳 사자의 서,8935700665,9788935700660,3220,정신세계사,"파드마삼바바 지음, 류시화 옮김",20000,18000,2000,10%,"1,000점",19950801,12511
63,종교/역학,주님이 차려주신 밥상,8982555870,9788982555879,,솔로몬,이상웅 지음,15000,13500,1500,10%,750점,20210210,1670
64,종교/역학,우리 교회 온택트 주일학교,8904121736,9788904121731,3230,생명의말씀사,유지혜 지음,12000,10800,1200,10%,600점,20210208,2105
65,종교/역학,오늘을 위한 레위기,8932817960,9788932817965,93230,IVP,김근주 지음,32000,28800,3200,10%,"1,600점",20210127,6085
66,종교/역학,신자의 자리로,8953138760,9788953138766,4230,두란노,"C. S. 루이스 지음, 윤종석 옮김",11000,9900,1100,10%,550점,20201118,7690
67,종교/역학,기도의 자리로,8953138744,9788953138742,4230,두란노,"C. S. 루이스 지음, 윤종석 옮김",10000,9000,1000,10%,500점,20201021,14102
68,종교/역학,내 안의 나,8993620830,9788993620832,3180,올리브나무,"조셉 베너 지음, 유영일 옮김",12000,10800,1200,10%,600점,20191021,3609
