순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,좋은부모,어떻게 말해줘야 할까,8934986654,9788934986652,13590,김영사,"오은영 지음, 차상미 그림",17500,15750,1750,10%,870점,20201025,235981
2,좋은부모,수학 잘하는 아이는 이렇게 공부합니다,K912738686,9791196848194,3370,블루무스,류승재 지음,16800,15120,1680,10%,840점,20210212,47260
3,좋은부모,문장교실 : 글쓰기는 귀찮지만 잘 쓰고 싶어,K062738222,9791155813447,43800,윌북,"하야미네 가오루 지음, 김윤경 옮김",15800,14220,1580,10%,790점,20210215,16690
4,좋은부모,초등 매일 습관 익힘책 : 저학년용,8927747631,9788927747635,13590,다락원,이은경 지음,15800,14220,1580,10%,790점,20210302,10920
5,좋은부모,초등 매일 글쓰기의 힘,K792738920,9791185402345,3370,상상아카데미,이은경 지음,16800,15120,1680,10%,840점,20210215,16310
6,좋은부모,초등 매일 습관 익힘책 : 고학년용,892774764X,9788927747642,13590,다락원,이은경 지음,15800,14220,1580,10%,790점,20210302,9160
7,좋은부모,공부머리 독서법,K722532337,9791196316808,3370,책구루,최승필 지음,16500,14850,1650,10%,820점,20180503,100670
8,좋은부모,나중에 후회 없는 초등 학부모 생활,8960498904,9788960498907,13370,사람in,해피이선생 지음,15000,13500,1500,10%,750점,20210303,5600
9,좋은부모,내 아이의 부자 수업,8947546879,9788947546874,3590,한국경제신문,김금선 지음,16000,14400,1600,10%,800점,20210219,5360
10,좋은부모,엄마의 감정이 말이 되지 않게,K352738629,9791161691480,3590,서랍의날씨,김선호 지음,14500,13050,1450,10%,720점,20210226,4380
11,좋은부모,세상에서 제일 좋은 아이중심 몬테소리,K862737359,9791186494622,13590,슬로래빗,씬디티쳐 박명진 지음,15000,13500,1500,10%,750점,20210125,13145
12,좋은부모,초등 노트 필기의 기술,K132633315,9791197139666,13590,멀리깊이,서휘경 외 지음,14800,13320,1480,10%,740점,20201028,18815
13,좋은부모,대치동 수학 공부의 비밀,K722737423,9791165214180,3410,길벗,고대원 지음,16000,14400,1600,10%,800점,20210110,16570
14,좋은부모,감각 통합 놀이,K622738125,9791188915415,13590,소울하우스,석경아.변미선.강은선 지음,15000,13500,1500,10%,750점,20210222,4300
15,좋은부모,초등 자기주도 공부법,K462736714,9791190846073,13590,한빛라이프,이은경.이성종 지음,16800,15120,1680,10%,840점,20201207,17470
16,좋은부모,초3보다 중요한 학년은 없습니다,896049867X,9788960498679,13370,사람in,해피이선생 지음,15000,13500,1500,10%,750점,20201028,35803
17,좋은부모,하브루타 독서토론,899046319X,9788990463197,13370,도서출판 해오름,박형만 외 지음,25000,22500,2500,10%,"1,250점",20210309,3190
18,좋은부모,현서네 유튜브 영어 학습법,K752736667,9791191209020,13590,넥서스,배성기 지음,16500,14850,1650,10%,820점,20201204,20745
19,좋은부모,못참는 아이 욱하는 부모,899739665X,9788997396658,13590,코리아닷컴(Korea.com),오은영 지음,16800,15120,1680,10%,840점,20160501,45949
20,좋은부모,아들과의 대화법,K972739034,9791165214814,3590,길벗,손경이 지음,14800,13320,1480,10%,740점,20210305,2570
21,좋은부모,초등 독서력 키우는 읽기놀이 일 년 열두 달,8988964527,9788988964521,3370,다우출판사,박형주.조수진 지음,26800,24120,2680,10%,"1,340점",20210103,18600
22,좋은부모,김수연의 아기발달 백과,8952736575,9788952736574,13590,지식너머,김수연 지음,18500,16650,1850,10%,920점,20190722,14713
23,좋은부모,내 생애 첫 임신 출산 육아책 (2021년 최신 개정판),8927810945,9788927810940,13590,중앙books(중앙북스),"중앙books 편집부 지음, 김수현.성중엽.심규홍 감수",22000,19800,2200,10%,"1,100점",20210125,3575
24,좋은부모,아이의 생각을 열어 주는 초등 인문학,K822737051,9791158731939,13590,심야책방,정홍 지음,15000,13500,1500,10%,750점,20210202,5970
25,좋은부모,영유아 몬테소리 육아대백과,K552636514,9791189719791,13590,키출판사,"시모네 데이비스 지음, 조은경 옮김, 히요코 이마이 일러스트",16000,14400,1600,10%,800점,20191217,13623
26,좋은부모,세상에서 제일 재밌는 종이접기,K972533242,9791186494431,13630,슬로래빗,네모아저씨 이원표 지음,14000,12600,1400,10%,700점,20180824,36140
27,좋은부모,42가지 마음의 색깔,K822433340,9791195588602,77870,레드스톤,"크리스티나 누녜스 페레이라 & 라파엘 R. 발카르셀 지음, 남진희 옮김",14000,12600,1400,10%,700점,20150805,15534
28,좋은부모,하루 한 장 365 인문학 달력 (스프링),K272736873,9791188700721,10590,청림Life,"김종원 지음, 소소하이 그림",16000,14400,1600,10%,800점,20201209,17795
29,좋은부모,공부머리 만드는 그림책 놀이 일 년 열두 달,8988964470,9788988964477,3370,다우출판사,박형주.김지연 지음,24000,21600,2400,10%,"1,200점",20190621,15713
30,좋은부모,삐뽀삐뽀 119 소아과 (개정12판),K012535681,9791195795505,3510,유니책방,하정훈 지음,29800,26820,2980,10%,"1,490점",20160715,76579
31,좋은부모,이서윤의 초등생활 처방전 365,8950994143,9788950994143,13590,아울북,이서윤 지음,27900,25110,2790,10%,"1,390점",20210305,2090
32,좋은부모,오은영의 사춘기 터널 통과법 세트 - 전2권,8994780793,9788994780795,14180,녹색지팡이,오은영 지음,25600,23040,2560,10%,"1,280점",20150501,7882
33,좋은부모,"초등 4학년, 아이가 수학을 포기하기 전에",K342738733,9791191439007,13590,멀리깊이,좌승협 지음,14000,12600,1400,10%,700점,20210303,1830
34,좋은부모,그 집 아들 독서법,K762636404,9791196848101,3370,블루무스,이지연 지음,16500,14850,1650,10%,820점,20191216,11222
35,좋은부모,초등 완성 매일 영어책 읽기 습관,K362633601,9791190931151,13590,비에이블,이은경 지음,16800,15120,1680,10%,840점,20201019,18435
36,좋은부모,"엄마, 나는 자라고 있어요",K852636225,9791164133055,3370,북폴리오,"헤티 판 더 레이트 외 지음, 유영미 옮김, 김수연 감수",22000,19800,2200,10%,"1,100점",20191227,16930
37,좋은부모,0~5세 말걸기 육아의 힘,K072633807,9791191119121,13590,위즈덤하우스,김수연 지음,17500,15750,1750,10%,870점,20200928,6426
38,좋은부모,코로나로 아이들이 잃은 것들,K702633126,9791191221008,13590,덴스토리(Denstory),김현수 지음,15000,13500,1500,10%,750점,20201115,17951
39,좋은부모,엄마표 영어 17년 보고서,8997195913,9788997195916,13590,청림Life,새벽달 지음,14500,13050,1450,10%,720점,20161101,11068
40,좋은부모,내 아이는 내 뜻대로 키울 줄 알았습니다,K622739916,9791186578865,13370,글로세움,김선희 지음,14000,12600,1400,10%,700점,20210308,1670
41,좋은부모,아이의 그릇,K302737157,9791191347012,3590,포레스트북스,이정화 지음,14000,12600,1400,10%,700점,20210118,4035
42,좋은부모,그림책 놀이수업의 기적,K902633315,9791196921545,13370,애플씨드북스,이인희 지음,16000,14400,1600,10%,800점,20201030,4042
43,좋은부모,완전학습 바이블,K842632478,9791130631134,3370,다산에듀,임작가 지음,17000,15300,1700,10%,850점,20200818,51863
44,좋은부모,방구석 랜선 육아,K852738838,9791158741112,3590,미디어숲,온마을 지음,16800,15120,1680,10%,840점,20210310,1780
