순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,중학교참고서,오투 중등 과학 2-1 (2021년),K892632025,9791164749317,,비상교육,비상교육 편집부 지음,18000,16200,1800,10%,900점,20200828,88002
2,중학교참고서,신사고 쎈 중등 수학 2 (상) (2021년용),8928326346,9788928326341,54410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,15000,13500,1500,10%,750점,20180504,147477
3,중학교참고서,오투 중등 과학 3-1 (2021년),K752632025,9791166090059,53400,비상교육,비상교육 편집부 지음,18000,16200,1800,10%,900점,20200826,82816
4,중학교참고서,신사고 쎈 중등 수학 1 (상) (2021년용),8928323983,9788928323982,53410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,14000,12600,1400,10%,700점,20170419,141638
5,중학교참고서,신사고 쎈 중등 수학 3 (상) (2021년용),892832811X,9788928328116,54410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,15000,13500,1500,10%,750점,20190508,128505
6,중학교참고서,오투 중등 과학 1-1 (2021년),K552632025,9791166090035,53400,비상교육,비상교육 편집부 지음,17000,15300,1700,10%,850점,20200826,57122
7,중학교참고서,"예비 매3비, 매일 지문 3개씩 푸는 비문학 독서 기출 (개정6판)",K812630731,9791165260200,53710,키출판사,안인숙 지음,15000,13500,1500,10%,750점,20200713,122764
8,중학교참고서,중학영문법 3800제 1학년 (2021년),K712633511,9791162726402,53740,마더텅,마더텅 편집부 지음,13900,12510,1390,10%,690점,20201026,64126
9,중학교참고서,일품 중등 수학 2 (상) 546제 (2021년),8928330378,9788928330379,,좋은책신사고,홍범준 외 지음,13000,11700,1300,10%,650점,20200908,36727
10,중학교참고서,"예비 매3문, 매일 지문 3개씩 푸는 문학 기출 (개정5판)",K792631498,9791165260217,53710,키출판사,안인숙 지음,15000,13500,1500,10%,750점,20200720,85271
11,중학교참고서,체크체크 국어 중2-1 천재(박영목) 교과서편 (2021년용),K172636395,9791125948650,53710,천재교육(학원물),박예진 외 지음,18500,16650,1850,10%,920점,20191001,30375
12,중학교참고서,한끝 중등 사회 1-1 : 2015 개정 교육과정 (2021년용),K752534786,9791162276259,53300,비상교육,비상교육 편집부 지음,14500,13050,1450,10%,720점,20181008,31029
13,중학교참고서,EBS 중학 뉴런 수학 1 (상) (2021년용),8954745024,9788954745024,53410,한국교육방송공사(중고등),EBS(한국교육방송공사) 편집부 지음,14000,12600,1400,10%,700점,20180112,57749
14,중학교참고서,한끝 중등 역사 1-1 : 2015 개정 교육과정 (2021년),K112633727,9791166090998,53,비상교육,비상교육 편집부 지음,13000,11700,1300,10%,650점,20201001,26366
15,중학교참고서,중학영문법 3800제 2학년 (2021년),K742633511,9791162726426,53740,마더텅,마더텅 편집부 지음,14900,13410,1490,10%,740점,20201026,50937
16,중학교참고서,워드 마스터 Word Master 중등 실력 (2021년용),K662535412,9791158316990,53740,이투스북,박혜란.조은정.홍미정 지음,10000,9000,1000,10%,500점,20160926,68482
17,중학교참고서,개념 + 유형 기초탄탄 라이트 중등 수학 1-1 (2021년),K922632370,9791164749744,53410,비상교육,비상교육 편집부 지음,18000,16200,1800,10%,900점,20200801,49013
18,중학교참고서,일품 중등 수학 1 (상) 450제 (2021년),892833036X,9788928330362,,좋은책신사고,좋은책신사고 편집부 지음,12000,10800,1200,10%,600점,20200908,28556
19,중학교참고서,EBS 중학 뉴런 국어 1 (2021년용),8954745008,9788954745000,53710,한국교육방송공사(중고등),EBS(한국교육방송공사) 편집부 지음,16000,14400,1600,10%,800점,20180112,46204
20,중학교참고서,일품 중등 수학 3 (상) 564제 (2021년),8928330386,9788928330386,53410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,13000,11700,1300,10%,650점,20200908,29197
21,중학교참고서,EBS 중학 뉴런 역사 1 (2021년),895475418X,9788954754187,53900,한국교육방송공사(중고등),EBS(한국교육방송공사) 편집부 지음,13000,11700,1300,10%,650점,20201020,30830
22,중학교참고서,EBS 중학 뉴런 과학 1 (2021년용),8954745059,9788954745055,53400,한국교육방송공사(중고등),EBS(한국교육방송공사) 편집부 지음,15000,13500,1500,10%,750점,20180112,46743
23,중학교참고서,숨마 주니어 중학 국어 비문학 독해 연습 1,8959904228,9788959904228,53710,이룸이앤비,김영신 외 지음,12000,10800,1200,10%,600점,20171002,74999
24,중학교참고서,체크체크 국어 중3-1 천재(박영목) 교과서편 (2021년용),K272636395,9791125948681,53710,천재교육(학원물),박예진 외 지음,18500,16650,1850,10%,920점,20191001,26205
25,중학교참고서,중학 독서평설 2021.3,K422738734,9771599177008,,지학사(잡지),지학사 편집부 지음,12000,10800,1200,10%,540점,20210223,11130
26,중학교참고서,마더텅 100% 실전대비 MP3 중학영어듣기 24회 모의고사 1학년 (2021년),K532633125,9791162726303,53740,마더텅,마더텅 편집부 지음,12900,11610,1290,10%,640점,20201103,29391
27,중학교참고서,EBS 중학 뉴런 과학 2 (2021년용),8954747280,9788954747288,53400,한국교육방송공사(중고등),EBS(한국교육방송공사) 편집부 지음,15000,13500,1500,10%,750점,20181214,45322
28,중학교참고서,개념원리 RPM 알피엠 중학 수학 2-1 (2021년용),8961334301,9788961334303,53410,개념원리수학연구소,이홍섭 지음,14000,12600,1400,10%,700점,20180701,51299
29,중학교참고서,신사고 쎈 중등 수학 2 (하) (2021년용),8928326664,9788928326662,54410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,15000,13500,1500,10%,750점,20181026,75383
30,중학교참고서,EBS 중학 뉴런 사회 1 (2021년용),8954745040,9788954745048,53330,한국교육방송공사(중고등),EBS(한국교육방송공사) 편집부 지음,16000,14400,1600,10%,800점,20180112,38171
31,중학교참고서,개념원리 RPM 알피엠 중학 수학 1-1 (2021년용),896133378X,9788961333788,53410,개념원리수학연구소,이홍섭 지음,14000,12600,1400,10%,700점,20170709,50870
32,중학교참고서,신사고 쎈 중등 수학 3 (하) (2021년용),8928328659,9788928328659,54410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,14500,13050,1450,10%,720점,20191016,57340
33,중학교참고서,워드 마스터 Word Master 중등 고난도 (2021년용),K492535412,9791158316907,53740,이투스북,박혜란 외 지음,11000,9900,1100,10%,550점,20160926,52717
34,중학교참고서,한끝 중등 역사 2-1 : 2009 개정 교육과정 (2021년용),K122534115,9791162275276,53900,비상교육,비상교육 편집부 지음,12000,10800,1200,10%,600점,20181010,26404
35,중학교참고서,중학영문법 3800제 3학년 (2021년),K792633511,9791162726440,53740,마더텅,마더텅 편집부 지음,14900,13410,1490,10%,740점,20201026,41164
36,중학교참고서,체크체크 국어 중2-1 천재(노미숙) 교과서편 (2021년용),K532636394,9791125948643,53710,천재교육(학원물),김희진 외 지음,18500,16650,1850,10%,920점,20191001,21630
37,중학교참고서,신사고 쎈 중등 수학 1 (하) (2021년용),892832436X,9788928324361,54410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,15000,13500,1500,10%,750점,20170901,64026
38,중학교참고서,EBS 중학 뉴런 영어 1 (2021년용),8954745016,9788954745017,53410,한국교육방송공사(중고등),EBS(한국교육방송공사) 편집부 지음,12000,10800,1200,10%,600점,20180112,39570
39,중학교참고서,개념원리 RPM 알피엠 중학 수학 3-1 (2021년용),8961334670,9788961334679,53410,개념원리수학연구소,이홍섭 지음,15000,13500,1500,10%,750점,20190601,44823
40,중학교참고서,쎈연산 중등 수학 1-1 (2021년용),8928327946,9788928327942,54410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,10000,9000,1000,10%,500점,20190213,48122
41,중학교참고서,한끝 중등 사회 2-1 : 2015 개정 교육과정 (2021년용),K212534438,9791162276242,53300,비상교육,비상교육 편집부 엮음,14500,13050,1450,10%,720점,20181101,24576
42,중학교참고서,오투 중등 과학 3-2 (2021년),K772737152,9791166090066,53400,비상교육,비상교육 편집부 지음,17000,15300,1700,10%,850점,20201201,15495
43,중학교참고서,라이트 쎈 중등 수학 1 (상) (2021년용),8928324017,9788928324019,53410,좋은책신사고,홍범준.신사고수학콘텐츠연구회 지음,14000,12600,1400,10%,700점,20170425,45427
44,중학교참고서,오투 중등 과학 2-2 (2021년),K672737152,9791164749324,53400,비상교육,비상교육 편집부 지음,18500,16650,1850,10%,920점,20201201,13625
45,중학교참고서,EBS 중학 뉴런 국어 2 (2021년용),8954747248,9788954747240,53710,한국교육방송공사(중고등),EBS(한국교육방송공사) 편집부 지음,16000,14400,1600,10%,800점,20181213,36352
46,중학교참고서,EBS 중학 뉴런 수학 2 (상) (2021년용),8954747264,9788954747264,53410,한국교육방송공사(중고등),EBS(한국교육방송공사) 편집부 지음,13500,12150,1350,10%,670점,20181212,42065
47,중학교참고서,주니어 능률 VOCA 기본,K632533125,9791125323600,53740,NE능률(참고서),NE능률 영어교육연구소 지음,9500,8550,950,10%,470점,20180705,48454
48,중학교참고서,개념원리 중학 수학 1-1 (2021년용),8961333771,9788961333771,53410,개념원리수학연구소,이홍섭 지음,14000,12600,1400,10%,700점,20170620,60428
49,중학교참고서,체크체크 국어 중1-1 천재(노미숙) 교과서편 (2021년용),K562636394,9791125948612,53710,천재교육(학원물),임동원 외 지음,18500,16650,1850,10%,920점,20191001,16514
50,중학교참고서,빠작 중학 국어 비문학 독해 1,8900434381,9788900434385,53710,동아출판,최두호 외 지음,12000,10800,1200,10%,600점,20181015,44451
51,중학교참고서,국어 교과서 작품 읽기 중1 소설 (전면개정판),8936458663,9788936458669,44810,창비,김미영 외 엮음,12000,10800,1200,10%,600점,20171227,25515
52,중학교참고서,블랙라벨 중학 수학 1-1 (2021년용),8960763802,9788960763807,53410,진학사,이문호 외 지음,12000,10800,1200,10%,600점,20170619,26651
53,중학교참고서,HIGH TOP 하이탑 중학교 과학 2 세트 (2021년용),8900434969,9788900434965,53400,동아출판,배미정 외 지음,23000,20700,2300,10%,"1,150점",20181110,30545
