순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,청소년,수학 잘하는 아이는 이렇게 공부합니다,K912738686,9791196848194,3370,블루무스,류승재 지음,16800,15120,1680,10%,840점,20210212,47260
2,청소년,문장교실 : 글쓰기는 귀찮지만 잘 쓰고 싶어,K062738222,9791155813447,43800,윌북,"하야미네 가오루 지음, 김윤경 옮김",15800,14220,1580,10%,790점,20210215,16690
3,청소년,아몬드 (반양장),8936456784,9788936456788,43810,창비,손원평 지음,10000,9000,1000,10%,500점,20170331,120031
4,청소년,코스모스,8983711892,9788983711892,3400,사이언스북스,"칼 세이건 지음, 홍승수 옮김",18500,16650,1850,10%,920점,20061220,162604
5,청소년,이토록 공부가 재미있어지는 순간 (10만 부 기념 스페셜 에디션),K302631614,9791130604626,13370,다산북스,박성혁 지음,15000,13500,1500,10%,750점,20200727,144767
6,청소년,체리새우 : 비밀글입니다,8954654754,9788954654753,3810,문학동네,황영미 지음,11500,10350,1150,10%,570점,20190128,73888
7,청소년,읽기만 하면 내 것이 되는 1페이지 미술 365 (고흐 에디션),K582736433,9791190931106,,비에이블,김영숙 지음,18500,16650,1850,10%,920점,20200925,120995
8,청소년,더 이상한 수학책,K112738626,9791191013122,3410,북라이프,"벤 올린 지음, 이경민 옮김",22000,19800,2200,10%,"1,100점",20210302,9430
9,청소년,페인트 (반양장),893645689X,9788936456894,43810,창비,이희영 지음,12000,10800,1200,10%,600점,20190419,63439
10,청소년,국어 교과서 작품 읽기 중1 소설 (전면개정판),8936458663,9788936458669,44810,창비,김미영 외 엮음,12000,10800,1200,10%,600점,20171227,25515
11,청소년,기억 전달자,8949120747,9788949120744,43840,비룡소,"로이스 로리 지음, 장은수 옮김",12000,10800,1200,10%,600점,20070518,55311
12,청소년,세계를 건너 너에게 갈게,895465021X,9788954650212,3810,문학동네,이꽃님 지음,11500,10350,1150,10%,570점,20180209,33150
13,청소년,소녀들을 위한 내 마음 안내서,K652738125,9791160805550,73510,휴머니스트,"로렌 리버스 외 지음, 안윤지 옮김",14000,12600,1400,10%,700점,20210215,6130
14,청소년,문학을 열다 - 전6권,K932633909,9791165810269,,스푼북,에토프 그림,75000,67500,7500,10%,"3,750점",20200910,11516
15,청소년,아름다운 아이,8994077464,9788994077468,73840,책과콩나무,"R. J. 팔라시오 지음, 천미나 옮김",13000,11700,1300,10%,650점,20121010,31558
16,청소년,시간을 파는 상점,8954427170,9788954427173,43810,자음과모음,김선영 지음,11000,9900,1100,10%,550점,20120410,58261
17,청소년,식탁 위의 세계사,8936452053,9788936452056,43900,창비,이영숙 지음,12800,11520,1280,10%,640점,20120529,34796
18,청소년,폴리네시아에서 온 아이,K992635634,9791189208301,44860,라임,"코슈카 지음, 톰 오구마 그림, 곽노경 옮김",9500,8550,950,10%,470점,20190710,8534
19,청소년,수상한 식물들,K522532170,9791156331834,43480,다른,"와일리 블레빈스 지음, 김정은 옮김",13500,12150,1350,10%,670점,20171220,6443
20,청소년,이상한 수학책,K192638604,9791188850808,3410,북라이프,"벤 올린 지음, 김성훈 옮김",24000,21600,2400,10%,"1,200점",20200318,21228
21,청소년,독고솜에게 반하면,895467030X,9788954670302,3810,문학동네,허진희 지음,11500,10350,1150,10%,570점,20200123,32908
22,청소년,읽기만 하면 내 것이 되는 1페이지 철학 365,K572736538,9791190931281,3100,비에이블,최훈 지음,17500,15750,1750,10%,870점,20201220,16820
23,청소년,왜 세계의 절반은 굶주리는가?,K042434338,9791187038030,3300,갈라파고스,"장 지글러 지음, 유영미 옮김, 우석훈 해제, 주경복 부록",10800,9720,1080,10%,540점,20160321,44211
24,청소년,남매의 탄생,8949137003,9788949137001,43810,비룡소,안세화 지음,13000,11700,1300,10%,650점,20210125,6630
25,청소년,한국단편소설 40,8965820472,9788965820475,44810,리베르,"김동인 외 지음, 박찬영 외 엮음",16800,15120,1680,10%,840점,20180716,30646
26,청소년,탐정이 된 과학자들,6000828713,9791156330103,43400,다른,"마릴리 피터스 지음, 지여울 옮김, 이현숙 감수",12000,10800,1200,10%,600점,20150410,16353
27,청소년,나쁜 과학자들,1156330238,9791156330233,43400,다른,"비키 오랜스키 위튼스타인 지음, 안희정 옮김, 서민 감수",11000,9900,1100,10%,550점,20140627,10081
28,청소년,쓴다는 것,8994407855,9788994407852,44080,너머학교,"박철현 지음, 이윤희 그림",12500,11250,1250,10%,620점,20210315,3930
29,청소년,정재승의 과학 콘서트 (개정증보 2판),K762630315,9791190030540,3400,어크로스,정재승 지음,16800,15120,1680,10%,840점,20200707,20628
30,청소년,이런 수학은 처음이야,8950993015,9788950993016,3410,21세기북스,최영기 지음,15800,14220,1580,10%,790점,20201111,36245
31,청소년,"시로 읽자, 우리 역사",8936458353,9788936458355,43810,창비,강영준 지음,14000,12600,1400,10%,700점,20130906,4630
32,청소년,완득이,8936456083,9788936456085,43810,창비,김려령 지음,11000,9900,1100,10%,550점,20080316,42237
33,청소년,하브루타 독서토론,899046319X,9788990463197,13370,도서출판 해오름,박형만 외 지음,25000,22500,2500,10%,"1,250점",20210309,3190
34,청소년,탐구한다는 것,8994407014,9788994407012,44400,너머학교,"남창훈 지음, 강전희 외 그림",10000,9000,1000,10%,500점,20100503,6665
35,청소년,곰브리치 세계사 (예일대 특별판),8949189534,9788949189536,43900,비룡소,"에른스트 H. 곰브리치 지음, 박민수 옮김",23000,20700,2300,10%,"1,150점",20190605,25956
36,청소년,구덩이,8936456024,9788936456023,43840,창비,"루이스 새커 지음, 김영선 옮김",12000,10800,1200,10%,600점,20070810,30746
37,청소년,"책읽기의 달인, 호모 부커스",8976828062,9788976828064,44800,그린비,이권우 지음,11900,10710,1190,10%,590점,20080825,5709
38,청소년,보통의 노을,8954445764,9788954445764,43810,자음과모음,이희영 지음,13000,11700,1300,10%,650점,20210208,4645
39,청소년,유진과 유진,K512633223,9791197120541,44810,밤티,이금이 지음,13500,12150,1350,10%,670점,20201105,8763
40,청소년,우아한 거짓말,8936456229,9788936456221,43810,창비,김려령 지음,12000,10800,1200,10%,600점,20091120,32856
41,청소년,유원 (반양장),8936456962,9788936456962,43810,창비,백온유 지음,12000,10800,1200,10%,600점,20200619,13503
42,청소년,환경과 생태 쫌 아는 10대,K112635902,9791161727356,44400,풀빛,"최원형 지음, 방상호 그림",13000,11700,1300,10%,650점,20190520,15609
43,청소년,소녀들을 위한 내 몸 안내서,K822635592,9791160802559,73510,휴머니스트,"소냐 르네 테일러 지음, 김정은 옮김",14000,12600,1400,10%,700점,20190509,11947
44,청소년,구미호 식당 (청소년판),K832532344,9791188912179,43810,특별한서재,박현숙 지음,12500,11250,1250,10%,620점,20180510,13290
45,청소년,아무도 들어오지 마시오,K102534132,9791160944266,44810,사계절,최나미 지음,11000,9900,1100,10%,550점,20190125,9619
46,청소년,종의 기원 : 모든 생물의 자유를 선언하다,8994407162,9788994407166,44470,너머학교,"박성관 지음, 강전희 그림, 찰스 다윈 원저",13500,12150,1350,10%,670점,20120820,6456
47,청소년,나는 무조건 합격하는 공부만 한다,K162636917,9791162541210,3190,비즈니스북스,이윤규 지음,15000,13500,1500,10%,750점,20191216,49903
48,청소년,미래세계 구출,8954439691,9788954439695,44820,자음과모음,"류츠신 지음, 김지은 옮김",13000,11700,1300,10%,650점,20190228,4856
49,청소년,1.5도의 미래,K992534179,9791188717026,43350,나무야,윤신영 지음,13000,11700,1300,10%,650점,20180920,3650
50,청소년,가시고백,8949123142,9788949123141,3810,비룡소,김려령 지음,13000,11700,1300,10%,650점,20120205,10740
51,청소년,해커스 그래머 게이트웨이 인터미디엇: 영어가 쉬워지는 기초 영문법 (Grammar Gateway Intermediate),8965420776,9788965420774,13740,해커스어학연구소(Hackers),해커스어학연구소 편집부 엮음,14900,13410,1490,10%,740점,20140901,17531
52,청소년,큰발 중국 아가씨,8990364981,9788990364982,74800,달리,"렌세이 나미오카 지음, 최인자 옮김",9500,8550,950,10%,470점,20060310,9614
53,청소년,프랑켄슈타인,8971847174,9788971847176,44840,푸른숲주니어,"메리 셸리 지음, 이인규 옮김",10000,9000,1000,10%,500점,20070430,7170
54,청소년,두 번째 엔딩 (반양장),8936457004,9788936457006,43810,창비,김려령 외 지음,12000,10800,1200,10%,600점,20210219,2850
55,청소년,호모 스페이스쿠스,K772630596,9791188569182,3440,플루토,이성규 지음,17000,15300,1700,10%,850점,20200707,3056
56,청소년,1페이지 공부법,K832738329,9791190931359,13370,비에이블,홍민영 지음,16500,14850,1650,10%,820점,20210219,2600
57,청소년,읽기만 하면 내 것이 되는 1페이지 한국사 365,K742630266,9791197035258,4900,비에이블,심용환 지음,16500,14850,1650,10%,820점,20200617,36326
58,청소년,"알로하, 나의 엄마들 (반양장)",8936456954,9788936456955,43810,창비,이금이 지음,13800,12420,1380,10%,690점,20200325,12028
59,청소년,어메이징 필로소피,8958204141,9788958204145,7100,궁리,"마이클 패튼.케빈 캐넌 지음, 장석봉 옮김",13000,11700,1300,10%,650점,20161021,9593
60,청소년,한국고전소설 40,8965820499,9788965820499,44810,리베르,"박지원 외 지음, 권정현 엮음",16800,15120,1680,10%,840점,20130109,15452
61,청소년,방관자,8983946962,9788983946966,3840,"미래인(미래M&B,미래엠앤비)","제임스 프렐러 지음, 김상우 옮김",9500,8550,950,10%,470점,20120305,16669
62,청소년,도덕을 위한 철학통조림 : 매콤한 맛,8934993618,9788934993612,74100,주니어김영사,"김용규 지음, 이우일 그림",11500,10350,1150,10%,570점,20160927,8958
