순번/순위,구분,상품명,ISBN,ISBN13,부가기호,출판사/제작사,저자/아티스트,정가,판매가,할인액,할인율,마일리지,출간일,세일즈포인트
1,컴퓨터/모바일,2021 수제비 정보처리기사 실기 (1권+2권 합본세트) 2020년 기출 문제 수록,K482738447,9791157675807,13000,건기원,NCS 정보처리기술사 연구회 지음,33000,29700,3300,10%,"1,650점",20210310,51300
2,컴퓨터/모바일,쉽게 풀어쓴 C언어 Express,8970509577,9788970509570,93000,생능출판사,천인국 지음,30000,30000,0,0%,900점,20180820,39154
3,컴퓨터/모바일,C언어로 쉽게 풀어쓴 자료구조,8970509712,9788970509716,93560,생능출판사,천인국.공용해.하상호 지음,29000,29000,0,0%,870점,20190222,28216
4,컴퓨터/모바일,파이썬 for Beginner,K512636304,9791156644668,93000,한빛아카데미(교재),우재남 지음,23000,23000,0,0%,"1,150점",20200106,21743
5,컴퓨터/모바일,두근두근 파이썬,8970508937,9788970508931,93000,생능출판사,천인국 지음,24000,24000,0,0%,720점,20170116,24415
6,컴퓨터/모바일,명품 JAVA Programming,897050947X,9788970509471,93000,생능출판사,황기태.김효수 지음,33000,33000,0,0%,990점,20180601,21865
7,컴퓨터/모바일,스크래치 : 문제해결을 위한 컴퓨팅 사고,K202738038,9791185578781,93000,인피니티북스,목원대학교 스톡스대학 SW교양학부 지음,14000,14000,0,0%,700점,20210225,18260
8,컴퓨터/모바일,디지털 논리회로,K512433731,9791156641889,93000,한빛아카데미(교재),임석구.홍경호 지음,27000,27000,0,0%,0점,20150706,18168
9,컴퓨터/모바일,IT 좀 아는 사람,K792737250,9791155813355,3320,윌북,"닐 메타 외 지음, 김고명 옮김",17800,16020,1780,10%,890점,20210120,29100
10,컴퓨터/모바일,처음 만나는 인공지능,8970504729,9788970504728,93000,생능출판사,김대수 지음,26000,26000,0,0%,780점,20201209,13900
11,컴퓨터/모바일,명품 C++ Programming,8970509437,9788970509433,93000,생능출판사,황기태 지음,30000,30000,0,0%,900점,20180305,17652
12,컴퓨터/모바일,2021 시나공 정보처리기사 실기,K012738731,9791165214838,13000,길벗,길벗 R&D 외 지음,33000,29700,3300,10%,"1,650점",20210302,16930
13,컴퓨터/모바일,인공지능 시대의 컴퓨터 개론,8970504710,9788970504711,93000,생능출판사,김대수 지음,27000,27000,0,0%,810점,20201202,11790
14,컴퓨터/모바일,Android Studio를 활용한 안드로이드 프로그래밍,K812737856,9791156645245,,한빛아카데미(교재),우재남.박길식 지음,32000,32000,0,0%,"1,600점",20210105,12435
15,컴퓨터/모바일,이기적 빅데이터분석기사 필기 기본서,8931462514,9788931462517,13000,영진.com(영진닷컴),나홍석 외 지음,25000,22500,2500,10%,"1,250점",20201125,14995
16,컴퓨터/모바일,명품 HTML5+CSS3+Javascript 웹 프로그래밍,8970508880,9788970508887,93000,생능출판사,황기태 지음,28000,28000,0,0%,840점,20170116,14430
17,컴퓨터/모바일,데이터베이스 개론,K002534127,9791156644316,93000,한빛아카데미(교재),김연희 지음,27000,27000,0,0%,0점,20190103,14408
18,컴퓨터/모바일,2021 시나공 정보처리기사 필기,K962737058,9791165214432,13000,길벗,길벗 R&D 외 지음,33000,29700,3300,10%,"1,650점",20210125,22370
19,컴퓨터/모바일,파이썬으로 배우는 컴퓨팅 사고,K782635463,9791185578439,93000,인피니티북스,김완섭 지음,17000,17000,0,0%,850점,20200212,11389
20,컴퓨터/모바일,처음 만나는 디지털 논리회로,K832535993,9791156642633,93560,한빛아카데미(교재),임석구.홍경호 지음,22000,22000,0,0%,0점,20160725,12357
21,컴퓨터/모바일,혼자 공부하는 파이썬,K432635210,9791162241882,94000,한빛미디어,윤인성 지음,18000,16200,1800,10%,900점,20190610,41407
22,컴퓨터/모바일,C언어 콘서트,8970509275,9788970509273,93000,생능출판사,천인국 지음,26000,26000,0,0%,780점,20170825,12689
23,컴퓨터/모바일,C로 배우는 쉬운 자료구조,K692535091,9791156642695,93000,한빛아카데미(교재),이지영 지음,27000,27000,0,0%,0점,20160728,12089
24,컴퓨터/모바일,운영체제,K372638921,9791185475578,93560,퍼스트북,"Abraham Silberschatz 외 지음, 박민규 옮김",39000,39000,0,0%,"1,170점",20200228,11420
25,컴퓨터/모바일,컴퓨터구조론 (김종현),8970509690,9788970509693,93000,생능출판사,김종현 지음,28000,28000,0,0%,840점,20190222,12038
26,컴퓨터/모바일,HTML5 웹 프로그래밍 입문,K642635843,9791156644552,93000,한빛아카데미(교재),윤인성 지음,26000,26000,0,0%,"1,300점",20190720,12085
27,컴퓨터/모바일,Do it! 점프 투 파이썬,K582635822,9791163030911,13000,이지스퍼블리싱,박응용 지음,18800,16920,1880,10%,940점,20190620,31469
28,컴퓨터/모바일,윤성우의 열혈 C 프로그래밍,8996094056,9788996094050,13000,오렌지미디어,윤성우 지음,25000,22500,2500,10%,"1,250점",20101101,34798
29,컴퓨터/모바일,소프트웨어 중심사회의 컴퓨터개론,K602534733,9791185578392,93000,인피니티북스,강환수 외 지음,27000,27000,0,0%,"1,350점",20190228,10767
30,컴퓨터/모바일,엑셀 2016,K352533229,9791156644057,93000,한빛아카데미(교재),김지연 지음,19000,19000,0,0%,0점,20180629,9092
31,컴퓨터/모바일,명품 JAVA Essential,8970509569,9788970509563,93000,생능출판사,황기태 지음,28000,28000,0,0%,840점,20180810,9996
32,컴퓨터/모바일,어서와 파이썬은 처음이지!,K552535002,9791185578231,93000,인피니티북스,천인국 지음,29000,29000,0,0%,"1,450점",20160812,9013
33,컴퓨터/모바일,쉽게 배우는 운영체제,K422533329,9791156644071,93000,한빛아카데미(교재),조성호 지음,28000,28000,0,0%,0점,20180630,10733
34,컴퓨터/모바일,포토샵 & 일러스트레이터 CC 2021 무작정 따라하기,K612737474,9791165214005,3000,길벗,민지영.앤미디어 지음,23000,20700,2300,10%,"1,150점",20210101,11650
35,컴퓨터/모바일,2021 수제비 정보처리기사 필기 (1권+2권 합본세트) 2020년 기출 문제 수록,K122736235,9791157675661,14000,건기원,NCS 정보처리기술사 연구회 지음,34000,30600,3400,10%,"1,700점",20210105,30030
36,컴퓨터/모바일,초연결 사회를 위한 컴퓨터 개론,K862636622,9791156644675,93000,한빛아카데미(교재),조성호 지음,26000,26000,0,0%,"1,300점",20200106,7779
37,컴퓨터/모바일,C 언어 for Beginner,K552533320,9791156643951,93000,한빛아카데미(교재),우재남 지음,23000,23000,0,0%,0점,20180630,8592
38,컴퓨터/모바일,컴퓨터 네트워킹 하향식 접근,K152531721,9791185475318,93560,퍼스트북,"James F. Kurose.Keith W. Ross 지음, 최종원 외 옮김",36000,36000,0,0%,0점,20170825,9977
39,컴퓨터/모바일,쉽게 배우는 자바 프로그래밍,K222735348,9791156645146,93000,한빛아카데미(교재),우종정 지음,29000,29000,0,0%,"1,450점",20201122,6265
40,컴퓨터/모바일,2021 시나공 컴퓨터활용능력 2급 실기,K462633411,9791165213169,13000,길벗,길벗 R&D 지음,22000,19800,2200,10%,"1,100점",20201026,30854
41,컴퓨터/모바일,2021 시나공 기출문제집 컴퓨터활용능력 1급 필기,K492737360,9791165213923,13000,길벗,길벗R&D.강윤석 외 지음,14000,12600,1400,10%,700점,20201221,12850
42,컴퓨터/모바일,엑셀과 파워포인트 2016,K562532882,9791156643760,93000,한빛아카데미(교재),김지연 지음,22000,22000,0,0%,0점,20171227,8377
43,컴퓨터/모바일,쉽게 배우는 소프트웨어 공학,K762434091,9791156642053,93000,한빛아카데미(교재),김치수 지음,25000,25000,0,0%,0점,20151130,9129
44,컴퓨터/모바일,파워 유저를 위한 파이썬 EXPRESS,8970504664,9788970504667,93000,생능출판사,천인국 지음,30000,30000,0,0%,900점,20201120,5830
45,컴퓨터/모바일,소프트웨어 이해와 컴퓨팅적 사고,896341308X,9788963413082,93000,영민,서병민.임순빈.김보경 지음,21000,21000,0,0%,0점,20190302,5805
46,컴퓨터/모바일,혼자 공부하는 C 언어,K772635210,9791162241868,94000,한빛미디어,서현우 지음,24000,21600,2400,10%,"1,200점",20190610,21234
47,컴퓨터/모바일,C# 프로그래밍 : 프로그래밍 기초부터 객체 지향 핵심까지,K902737857,9791156645238,93000,한빛아카데미(교재),윤인성 지음,26000,26000,0,0%,"1,300점",20210105,6665
48,컴퓨터/모바일,맛있는 디자인 포토샵 & 일러스트레이터 CC 2021,K572737059,9791162243848,13000,한빛미디어,빨간고래 (박정아).윤이사라 지음,22000,19800,2200,10%,"1,100점",20210118,8520
49,컴퓨터/모바일,운영체제,K532535184,9791156642459,93000,한빛아카데미(교재),구현회 지음,27000,27000,0,0%,0점,20160630,7656
50,컴퓨터/모바일,컴퓨팅 사고와 문제해결,K272738038,9791185578804,93000,인피니티북스,천인국.이화민.차현진 지음,25000,25000,0,0%,"1,250점",20210226,5390
51,컴퓨터/모바일,컴퓨팅 사고 Level Up 소프트 파워 with 스크래치,K382637012,9791188831418,,연두에디션,김호다 외 지음,23000,23000,0,0%,0점,20200217,8348
52,컴퓨터/모바일,컴퓨팅 사고,K952536661,9791185578279,93000,인피니티북스,"David D. Riley 외 지음, 문봉교 외 옮김",23000,23000,0,0%,"1,150점",20170111,6700
53,컴퓨터/모바일,2021 시나공 총정리 컴퓨터활용능력 1급 필기 (8절),K932736762,9791165213459,13000,길벗,길벗R&D.강윤석 외 지음,20000,18000,2000,10%,"1,000점",20201116,26395
54,컴퓨터/모바일,Warming-Up C Programming,K012636101,9791188831203,,연두에디션,천정아 지음,25000,25000,0,0%,0점,20191120,6929
55,컴퓨터/모바일,Perfect C,K292434816,9791185578224,93000,인피니티북스,강환수.강환일.이동규 지음,29000,29000,0,0%,"1,450점",20160111,6545
56,컴퓨터/모바일,밑바닥부터 시작하는 딥러닝,8968484635,9788968484636,93000,한빛미디어,"사이토 고키 지음, 개앞맵시 옮김",24000,21600,2400,10%,"1,200점",20170103,20252
57,컴퓨터/모바일,쉽게 배우는 알고리즘,K002532298,9791156643753,93000,한빛아카데미(교재),문병로 지음,27000,27000,0,0%,0점,20180120,8540
58,컴퓨터/모바일,2021 시나공 워드프로세서 실기,K202633224,9791165213299,13000,길벗,길벗 R&D 외 지음,17000,15300,1700,10%,850점,20201102,16273
59,컴퓨터/모바일,2021 시나공 컴퓨터활용능력 1급 실기,K492633411,9791165213152,13000,길벗,길벗 R&D 외 지음,36000,32400,3600,10%,"1,800점",20201026,21267
60,컴퓨터/모바일,최신 컴퓨터 구조,K202635351,9791156644569,93000,한빛아카데미(교재),임석구.홍경호 지음,28000,28000,0,0%,"1,400점",20190817,5514
61,컴퓨터/모바일,오라클로 배우는 데이터베이스 개론과 실습,K492631835,9791156645023,93000,한빛아카데미(교재),박우창 외 지음,29000,29000,0,0%,"1,450점",20200730,4842
62,컴퓨터/모바일,MATLAB으로 배우는 공학수학,K822532434,9791156643869,93560,한빛아카데미(교재),소상균 지음,28000,28000,0,0%,0점,20180405,5049
63,컴퓨터/모바일,SQL 자격검정 실전문제,8988474848,9788988474846,13000,한국데이터산업진흥원,한국데이터진흥원 지음,18000,18000,0,0%,900점,20200511,14275
64,컴퓨터/모바일,회사에서 바로 통하는 실무 엑셀 + 파워포인트 + 워드 & 한글,K692638140,9791162243008,13000,한빛미디어,전미진.이화진.신면철 지음,22000,19800,2200,10%,"1,100점",20200410,21167
65,컴퓨터/모바일,컴퓨터 구조 및 설계,8964212134,9788964212134,93000,한티미디어,"데이비드 패터슨.존 헤네시 지음, 박명순 외 옮김",35000,35000,0,0%,"1,750점",20150119,8433
